"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"観音山","塩屋","","御坊市","広域避難場所","津波　","","","☆☆☆","","有","○","","毛布他（自主防災会）",58.5,135.164329,33.8584788,"","","",0,0,0,0,"御坊市塩屋町　南塩屋0-0","","指定緊急避難場所",""
"ふれあいセンター藤井","藤田","","御坊市","避難所","","浸水予測地域　","","","耐震　","","","","",9,135.175105,33.911011,"","","",0,0,57,0,"御坊市藤田町　藤井1909-2","","指定避難所",""
"上野口集会場","野口","","御坊市","避難所","","浸水予測地域　","","","耐震　","","","","",12,135.190327,33.89863,"","","",0,0,40,0,"御坊市野口1809-2","","指定避難所",""
"名屋地区津波避難タワー","御坊","津波時は２階以上","御坊市","避難場所","津波　","浸水予測地域　津波浸水予測地域","","☆","耐震　","有","○","","毛布他",2.3,135.159116230633,33.8826306522167,"","","",0,0,0,370,"御坊市名屋町１丁目14-3","","指定緊急避難場所",""
"きのくに信用金庫御坊営業部屋上","湯川","","御坊市","避難場所","津波　","浸水予測地域　津波浸水予測地域","","☆☆","耐震　","","","","",4.4,135.155382,33.9004087,"","","",0,0,0,440,"御坊市湯川町　財部701-0","","指定緊急避難場所",""
"新町地区津波避難タワー","御坊","","御坊市","避難場所","津波　","浸水予測地域　津波浸水予測地域","","☆","耐震　","有","○","","毛布他",3.1,135.1555893,33.88960345,"","","",0,0,0,690,"御坊市薗678-0","","指定緊急避難場所",""
"ヨシダエルシス㈱社屋屋上","藤田","","御坊市","避難場所","津波　","浸水予測地域　","","☆☆☆","耐震　","","","","",7.8,135.1709539,33.90619609,"","","",0,0,0,400,"御坊市藤田町　吉田155-0","","指定緊急避難場所",""
"福祉センター","御坊","津波時は3階以上","御坊市","福祉避難所","","津波浸水予測地域","","","耐震　","有","○","○","毛布他",3.4,135.152801,33.890864,"","","",0,0,100,347,"御坊市薗350-0","","指定避難所","指定緊急避難場所"
"薗地区津波避難タワー","御坊","","御坊市","避難場所","津波　","浸水予測地域　津波浸水予測地域","","☆☆","耐震　","有","○","","毛布他",5.4,135.161606,33.887146,"","","",0,0,0,800,"御坊市薗980-2","","指定緊急避難場所",""
"鳳生寺","湯川","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",18,135.161446,33.913355,"","","",0,0,0,1000,"御坊市湯川町　富安2133-0","","指定緊急避難場所",""
"明神川　春日山","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",37,135.195806,33.873817,"","","",0,0,0,1900,"御坊市明神川0-0","","指定緊急避難場所",""
"須佐神社","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",20,135.178965,33.868496,"","","",0,0,0,1000,"御坊市塩屋町　南塩屋0-0","","指定緊急避難場所",""
"御坊総合運動公園駐車場","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",17,135.1699464,33.8628056,"","","",0,0,0,4200,"御坊市塩屋町　南塩屋1122-0","","指定緊急避難場所",""
"関西電力㈱社宅前駐車場","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",11.5,135.163264,33.86584,"","","",0,0,0,100,"御坊市塩屋町　南塩屋243-0","","指定緊急避難場所",""
"北塩屋　六豆山","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",34,135.164326,33.870164,"","","",0,0,0,1500,"御坊市塩屋町　北塩屋0-0","王子神社裏","指定緊急避難場所",""
"北塩屋　上の芝　高台","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",19.4,135.160201,33.875127,"","","",0,0,0,3000,"御坊市塩屋町　北塩屋0-0","","指定緊急避難場所",""
"塩屋王子神社","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",14.5,135.1622995,33.8698241,"","","",0,0,0,1000,"御坊市塩屋町　北塩屋0-0","","指定緊急避難場所",""
"近畿大学先端技術総合研究所植物センター跡地","塩屋","","御坊市","避難場所","津波　","","","☆☆☆","","","","","",30.9,135.162211,33.8755289,"","","",0,0,0,5780,"御坊市塩屋町　北塩屋768-8","","指定緊急避難場所",""
"吉田八幡神社","藤田","","御坊市","避難場所","津波　","土砂災害予測地域　","","☆☆☆","","","","","",33.9,135.16959,33.913158,"","","",0,0,0,1300,"御坊市藤田町　吉田0-0","","指定緊急避難場所",""
"丸山　宮山","湯川","","御坊市","避難場所","津波　","土砂災害予測地域　","","☆☆☆","","","","","",24.1,135.153069,33.908241,"","","",0,0,0,500,"御坊市湯川町　丸山0-0","","指定緊急避難場所",""
"丸山　西山","湯川","","御坊市","避難場所","津波　","土砂災害予測地域　","","☆☆☆","","","","","",30.2,135.15,33.913666,"","","",0,0,0,1300,"御坊市湯川町　丸山0-0","","指定緊急避難場所",""
"オークワ ロマンシティ御坊店","御坊 湯川","津波時は2階以上","御坊市","避難場所","津波　","浸水予測地域　津波浸水予測地域","","☆☆","耐震　","","","","",4,135.149438,33.897732,"","","",0,0,0,18000,"御坊市湯川町　財部181-0","","指定緊急避難場所",""
"グリーンハイツ　さくら棟","御坊","津波時は3階以上","御坊市","避難場所","津波　","浸水予測地域　津波浸水予測地域","","☆☆","耐震　","","","","",5.5,135.164328,33.894144,"","","",0,0,0,305,"御坊市島614-2","","指定緊急避難場所",""
"グリーンハイツ　すずらん棟","御坊","津波時は3階以上","御坊市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","有","○","○","毛布、非常食、飲料水",5.5,135.164544,33.893582,"","","",0,0,0,398,"御坊市島462-1","","指定緊急避難場所",""
