"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"阿尾青年会場","阿尾","","日高町","避難所","","土砂災害予測地域　津波浸水予測地域","","","非耐震","","","","",3,135.0715,33.9042442,"","","",58.2,0,8,58,"日高町大字阿尾532","","指定避難所",""
"岩ノ谷集会所","原谷","","日高町","避難所","","土砂災害予測地域　","","","非耐震","有","○","","カセットコンロ・カセットボンベ",37,135.147716,33.9497369,"","","",18.2,0,3,18,"日高町大字原谷54","","指定避難所",""
"小坂青年会場","小坂","","日高町","避難所","","土砂災害予測地域　","","","非耐震","有","○","","発電機・投光機・コードリールなど",29.5,135.092413,33.919126,"○","○","",57.3,0,8,57,"日高町大字小坂262","","指定避難所",""
"荘厳寺","方杭","","日高町","避難所","","土砂災害予測地域　","","","非耐震","","","","",9,135.0871644,33.93980561,"","","",41,0,6,41,"日高町大字方杭65-1","","指定避難所",""
"池田公民館","池田","","日高町","避難所","","土砂災害予測地域　","","","非耐震","有","○","","発電機・投光機・コードリール他",32.5,135.1358015,33.94206887,"○","○","",160.2,0,22,160,"日高町大字池田79-1","","指定避難所",""
"柏コミュニティセンター","柏","","日高町","避難所","","土砂災害予測地域　津波浸水予測地域","","","耐震　","有","○","","担架・延長コード・救急セット他",5,135.095022,33.9467915,"○","○","",54.6,0,8,54,"日高町大字志賀3887-1","","指定避難所",""
"比井崎漁村センター","阿尾","","日高町","避難所","","土砂災害予測地域　津波浸水予測地域","","","耐震　","","","","",2.5,135.0762451,33.90260494,"","","",214.7,0,29,214,"日高町大字阿尾143-4","","指定避難所",""
"小浦峠高台","小浦","","日高町","避難場所","高潮　内水氾濫　地震　津波　","","","☆☆☆","","","","","",47,135.081337,33.9334379,"","","",0,50,0,50,"日高町大字小浦435-1","","指定緊急避難場所",""
"通園あこう","高家","","日高町","福祉避難所","","浸水予測地域　","","","耐震　","","","","",9,135.140439,33.9263268,"","","",0,0,25,186,"日高町大字高家631","","指定避難所",""
"ふれあいセンター","小中","","日高町","福祉避難所","","土砂災害予測地域　","","","耐震　","有","○","","投光器・担架・延長コード・救急セット",22,135.1261815,33.92498342,"○","○","○",595,0,80,595,"日高町大字小中1308","","指定避難所",""
"ひだか博愛園みちしお","阿尾","","日高町","福祉避難所","","津波浸水予測地域","","","耐震　","有","○","○","投光器・担架・延長コード・救急セット",6,135.068614,33.9052174,"","","",365.7,0,49,365,"日高町大字阿尾646","津波時は1Fの浸水が想定されるため、３階以上に避難する。","指定避難所",""
"阿尾尾崎高台","阿尾","","日高町","避難場所","高潮　内水氾濫　地震　津波　","土砂災害予測地域　","","☆☆☆","","","","","",20,135.071947,33.9054032,"","","",0,1000,0,1000,"日高町大字阿尾540-1","","指定緊急避難場所",""
