名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
介護老人福祉施設　　やすらぎ園,,,,,紀美野町,福祉避難所,,,,,耐震　,,,,,,135.3113120 ,34.1518979 ,,,,,,,,紀美野町下佐々1408-7,
特別養護老人ホームやすらぎ園,,,,,紀美野町,福祉避難所,,,,,耐震　,,,,,,135.3113120 ,34.1518979 ,,,,,,,,紀美野町下佐々1408-7,
特別養護老人ホーム美里園,,,,,紀美野町,福祉避難所,,,,,耐震　,,,,,,135.3466250 ,34.1490519 ,,,,,,,,紀美野町安井6-1,
国保野上厚生総合病院,,,,,紀美野町,福祉避難所,,,,,耐震　,,,,,,135.2953190 ,34.1638404 ,,,,,,,,紀美野町小畑198,
吉見集会所,下佐々,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,87,135.3066736 ,34.1368116 ,,,,148,,33,,紀美野町下佐々1752-1,
芝崎集会所,動木,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,65,135.3094792 ,34.1697717 ,,,,85,,17,,紀美野町動木363-1,
四郷集会所,四郷,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,238,135.4128860 ,34.1802805 ,,,,71,,11,,紀美野町四郷134,
勝谷集会所,勝谷,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,390,135.4356728 ,34.1710233 ,,,,101,,19,,紀美野町勝谷181-2,
円明寺集会所,円明寺,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,169,135.4131203 ,34.1680252 ,,,,155,,23,,紀美野町円明寺202-1,
上真国多目的集会所,花野原　初生谷　北野,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,159,135.3997361 ,34.1687804 ,,,,197,,30,,紀美野町花野原351-6,
