,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,,,,
,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,,,,
避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,,,,
岩出市総合保健福祉センター(あいあいセンター),金池,中黒,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,32,135.2955835,34.2742222,,,500,岩出市金池92,,,,
岩出市立体育館,西野,高瀬,他,,岩出市,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,19,135.3099148,34.2564022,,,450,岩出市西野264,,,,
岩出市民総合体育館,荊本,中迫,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,避難誘導等のみ自家発あり、毛布、ローソク,26,135.3104024,34.2637385,,,1370,岩出市荊本63-2,,,,
岩出地区公民館,清水,高塚,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,23,135.3190208,34.2555169,,,180,岩出市清水386-12,,,,
山崎地区公民館,中黒,湯窪,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,19,135.2918153,34.2670743,,,160,岩出市中黒52-2,,,,
岩出市農業構造改善総合センター(根来地区公民館),根来,尼ヶ辻,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,47,135.3089486,34.2762115,,,140,岩出市根来535-2,,,,
岩出市農家高齢者創作館(上岩出地区公民館),水栖,中迫,,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,38,135.3215881,34.2678954,,,150,岩出市水栖199-3,,,,
紀泉台地区公民館,紀泉台,原,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,68,135.2906385,34.2816294,,,160,岩出市紀泉台428,,,,
桜台地区公民館,桜台,根来,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,50,135.3140556,34.2782212,,,,岩出市桜台494,,,,
岩出小学校,清水,高塚,,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,15,135.3183952,34.2509012,,,330,岩出市清水30,,,,
山崎小学校,中黒,湯窪,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,18,135.2915781,34.2676953,,,351,岩出市中黒100,,,,
山崎北小学校,西安上,金池,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,32,135.2915917,34.2764571,,,313,岩出市西安上70,,,,
根来小学校,根来,森,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,51,135.3093501,34.2779732,,,320,岩出市根来479,,,,
上岩出小学校,水栖,南大池,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,45,135.3258861,34.2702569,,,350,岩出市水栖514,,,,
中央小学校,川尻,野上野,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,37,135.316941,34.2703093,,,320,岩出市川尻202,,,,
岩出中学校,西野,荊本,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,22,135.3072524,34.2618505,,,520,岩出市西野65,,,,
岩出第二中学校,野上野,今中,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,42,135.3160903,34.274216,,,440,岩出市野上野155,,,,
那賀高等学校,高塚,大町,他,,岩出市,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,27,135.322612,34.260322,,,300,岩出市高塚115,,,,
岡田児童館,岡田,,,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,31,135.3354421,34.2584713,,,70,岩出市岡田643-4,,,,
大池児童館,水栖,溝川,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,38,135.3275597,34.2672697,,,60,岩出市水栖5-1,,,,
曽屋教育集会所,曽屋,森,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,27,135.3066234,34.2661202,,,30,岩出市曽屋456-5,,,,
岡田集会所,岡田,溝川,,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,22,135.3305067,34.2589951,,,30,岩出市岡田463,,,,
根来北集会所,根来,,,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,64,135.3073002,34.2817933,,,20,岩出市根来1162,,,,
岩出地区コミュニティーセンター,高塚,清水,,,岩出市,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,24,135.3199482,34.2532293,,,30,岩出市高塚11,,,,
上岩出地区コミュニティーセンター,北大池,東坂本,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,55,135.3282887,34.2758343,,,30,岩出市北大池84-2,,,,
岩出地区水田利用再編対策研修指導施設(船山地区公民館),山崎,船戸,,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米、毛布、ローソク、スコップ,28,135.3177209,34.248138,,,80,岩出市山崎122,,,,
いわで御殿,清水,高塚,,,岩出市,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,19,135.3192525,34.2507367,,,50,岩出市清水5-1,,,,
サンホール(岩出市陶芸館),山,吉田,他,,岩出市,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,乾パン、アルファ米,20,135.2822178,34.270893,,,150,岩出市山719,,,,
さぎのせ公園,中島,吉田,他,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆,,,,,12,135.276002,34.25731,,,14800,岩出市中島,,,,
荒神公園,紀泉台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,77,135.294174,34.282649,,,401,岩出市紀泉台75,,,,
蔵谷公園,紀泉台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,77,135.290328,34.282445,,,439,岩出市紀泉台427-2,,,,
東公園,西国分,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,36,135.331948,34.266365,,,1515,岩出市西国分491,,,,
交通公園,堀口,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,34,135.304299,34.270601,,,1160,岩出市堀口41,,,,
中島グリーンタウン南公園,中島,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆,,,,,14,135.285827,34.258635,,,362,岩出市中島35-8,,,,
吉田団地公園,吉田,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,11,135.276439,34.268061,,,400,岩出市吉田92-2,,,,
山宮の浦公園,山,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,30,135.281696,34.276537,,,204,岩出市山492-33,,,,
中黒団地公園,中黒,相谷,他,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,22,135.286465,34.273859,,,447,岩出市相谷460-15,,,,
若葉台公園,今中,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,73,135.319242,34.279427,,,646,岩出市今中170-8,,,,
くすのき公園,桜台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,84,135.31657,34.280016,,,711,岩出市桜台422,,,,
さくら公園,桜台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,76,135.31605,34.280828,,,1383,岩出市桜台423,,,,
けやき公園,桜台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,108,135.316206,34.282685,,,282,岩出市桜台426,,,,
紀泉台グラウンド,紀泉台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,81,135.291122,34.282645,,,4280,岩出市紀泉台96-2,,,,
紀泉台公園１,紀泉台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,57,135.289287,34.280411,,,427,岩出市紀泉台481,,,,
紀泉台公園２,紀泉台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,76,135.292221,34.282911,,,202,岩出市紀泉台96-38,,,,
わんぱく公園,桜台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,90,135.318158,34.282197,,,1734,岩出市桜台425,,,,
むくのき公園,桜台,,,,岩出市,避難所 屋外避難先 ,風水害 地震,,☆☆☆,,,,,69,135.317654,34.279365,,,703,岩出市桜台427,,,,
