名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
中貴志コミュニティセンター,地区を限定しない,,,,紀の川市,避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　津波,,☆☆☆,,耐震　,,,,,30,135.3134450 ,34.2183132 ,,,,580,,290,,紀の川市貴志川町　上野山28,
鞆渕小・中学校（体育館）,中鞆渕 山村留学センター,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆,,耐震　,,,,,320,135.4577260 ,34.2190280 ,,,,385,,385,,紀の川市中鞆渕968-1,
和歌山県農業試験場,地区を限定しない,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,53,135.3215310 ,34.2006557 ,,,,661,,400,,紀の川市貴志川町　高尾160,
竜門小学校（体育館）,荒見  遠方  風市 エバーグリーン 上勝神 下勝神 杉原,,,,紀の川市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　高潮　地震　津波,浸水予測地域　,☆,,耐震　,,,,,33,135.4022770 ,34.2577698 ,,,,739,,400,,紀の川市杉原257-1,
名手小学校（体育館）,東元町  西元町  藤崎（北 南） 後田（東 西 南 北）,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,51,135.4333090 ,34.2708709 ,,,,1081,,590,,紀の川市名手西野328,
麻生津小学校（体育館）,赤沼田下  横谷（北 南）  麻生津中（東 西） 北涌（東 西 中） 西脇（東 西 北 中） 飯盛,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆☆☆,,耐震　,,,,,49,135.4445830 ,34.2657427 ,,,,435,,235,,紀の川市麻生津中16,
粉河中学校（体育館・格技場）,リバーサイド粉河  松井（粉河） 松井,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,39,135.4027620 ,34.2698492 ,,,,1701,,910,,紀の川市粉河925,
粉河小学校（体育館）,桜町 天北町 天中町 天南町　松井（粉河）　むつみ寮　深田　松井,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,55,135.4027390 ,34.2718817 ,,,,912,,500,,紀の川市粉河1558-1,
粉河ふるさとセンター,石南町  南前田団地  井田 井田公営住宅 上嶋町内会 ニューラスタ上嶋 東野,,,,紀の川市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　高潮　地震　津波,浸水予測地域　,☆☆☆,,耐震　,有,○,,簡易トイレ、毛布等,33,135.4106500 ,34.2674712 ,○,,,5521,,700,,紀の川市粉河580,
