名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
東家体育館（旧市立橋本小学校）,小原田  東家,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,92,135.6068255 ,34.3161980 ,○,,○,1011,10630,404,,橋本市東家２丁目1-13,
谷奥深集会所,谷奥深,,,集会所,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,304,135.6725217 ,34.2823012 ,○,,○,64,15,12,,橋本市谷奥深62,
市立恋野小学校,恋野  赤塚  中道 上田 須河 只野,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,95,135.6483848 ,34.3225024 ,○,,○,764,3630,305,,橋本市赤塚129-1,
市立柱本小学校,紀見ヶ丘  紀見峠  沓掛 柱本 光陽台 矢倉脇 慶賀野,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,267,135.6106692 ,34.3680356 ,○,,○,1080,10956,432,,橋本市紀見ケ丘２丁目20-1,
市立清水小学校,向副 横座 賢堂 清水,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆,,耐震　,,,,,,135.6061517 ,34.3083406 ,○,,,795,5426,318,,橋本市清水2014,
市立信太小学校,上中  下中 九重 西川,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,230,135.5534669 ,34.3323692 ,○,,○,683,4483,273,,橋本市高野口町　九重87-1,
市立城山小学校,城山台,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,194,135.6109954 ,34.3486830 ,○,,○,1037,9618,414,,橋本市城山台２丁目10-2,
市立三石小学校,三石台（南）,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,209,135.6010896 ,34.3535483 ,○,,○,1012,13494,404,,橋本市三石台２丁目1-1,
市立高野口中学校,田原,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,149,135.5604569 ,34.3221472 ,○,,○,1122,19436,448,,橋本市高野口町　名古曽1322-10,
市立高野口小学校,名倉東 名倉西 名倉南 名倉北 名倉中 大野東 大野西 大野北 向島東 向島西,,,体育館,橋本市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,,,,,,135.5513650 ,34.3037172 ,○,,,1034,8676,413,,橋本市高野口町　名倉226,
市立隅田中学校,芋生  中下,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,109,135.6492306 ,34.3271693 ,○,,○,1286,7452,514,,橋本市隅田町　芋生243-1,
市立隅田小学校,中島  垂井  真土 上兵庫,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,105,135.6478109 ,34.3305689 ,○,,○,1049,9395,419,,橋本市隅田町　垂井20,
市立橋本中央中学校,東家  市脇  城の内 野団地 ぶどう坂,,,浸水時は３階以上のみ,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,○,毛布、アルファ米、水、資機材、仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,79,135.6043886 ,34.3119314 ,○,,○,1149,26271,459,,橋本市市脇５丁目3-8,
市立境原小学校,小峰台  境原 細川 霜草 杉尾 紀ノ光台,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,194,135.6274099 ,34.3522584 ,○,,○,820,8084,328,,橋本市小峰台１丁目25-1,
市立紀見幼稚園,橋谷,,,遊戯室,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,85,135.6039875 ,34.3404690 ,○,,○,428,1154,130,,橋本市御幸辻284,
市立紀見北中学校,三石台（北）  橋谷（グリーンバレー）,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,254,135.6003377 ,34.3621916 ,○,,○,1136,11328,454,,橋本市三石台３丁目19-1,
市立紀見東中学校,紀見  胡麻生  橋本ニュータウン しらさぎ台,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,184,135.6126274 ,34.3465992 ,○,,○,1044,11111,417,,橋本市城山台１丁目39-2,
