名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
高野町民体育館,高野山、相ノ浦、大滝、林、南、西ケ峰、平原、樫原、東又、杖ヶ薮,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆,,耐震　,,,,,831,135.5936970 ,34.2106841 ,,,,820,,235,470,高野町大字高野山486,
高野山中学校体育館,高野山、相ノ浦、大滝、林、南、西ケ峰、平原、樫原、東又、杖ヶ薮,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆,,耐震　,,,,,806,135.5898670 ,34.2210047 ,,,,1333,,355,710,高野町大字高野山26-2,
富貴小中学校体育館,東富貴 西富貴,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,604,135.7004020 ,34.2629624 ,,,,562,,150,300,高野町大字東富貴202,
花坂小学校体育館,花坂,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,○,アルファ米、水、毛布,416,135.5308410 ,34.2171606 ,○,○,,505,,202,404,高野町大字花坂716,
元西細川小学校体育館,西細川、東細川,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,,339,135.5470210 ,34.2316837 ,,,,184,,58,116,高野町大字細川198,
元筒香小学校体育館,上筒香  中筒香  下筒香,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,,442,135.6904020 ,34.2396120 ,,,,371,,110,220,高野町大字中筒香235,
元白藤小学校体育館,神谷、西郷、東細川,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,,521,135.5721700 ,34.2435536 ,,,,268,,75,150,高野町大字細川471,
高野山小学校体育館,高野山、相ノ浦、大滝、林、南、西ケ峰、平原、樫原、東又、杖ヶ薮,,,,高野町,避難所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆,,耐震　,,,,,834,135.5848110 ,34.2108777 ,,,,909,,230,460,高野町大字高野山376,
湯川集会所,湯川,,,,高野町,避難所,崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,有,○,○,アルファ米、水、毛布,505,135.5315360 ,34.1865190 ,○,○,,40,,16,32,高野町大字湯川406,
