,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,,,,,,,,,,,,,,,
避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,,,,,,,,,,,,,,,
九度山小学校,広良,梅林,東第一,,九度山町,避難所 屋内避難先 屋外避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,,135.5646867,34.2872793,,,530,九度山町九度山1077,,,,,,,,,,,,,,,
古澤小学校,下古沢,中古沢,上古沢,,九度山町,避難所 屋内避難先 屋外避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,,,,135.5495293,34.2671118,,,310,九度山町中古沢１,,,,,,,,,,,,,,,
河根小学校,河根,,,,九度山町,避難所 屋内避難先 屋外避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆☆,,耐震性有り,,,,135.5780212,34.2747497,,,150,九度山町河根118,,,,,,,,,,,,,,,
久保小学校,久保地区,北又地区,野平地区,,九度山町,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,,135.6092697,34.25878,,,40,九度山町北又379,,,,,,,,,,,,,,,
九度山中学校,広良,梅林,東第一,,九度山町,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,,135.5675179,34.287776,,,650,九度山町九度山619,,,,,,,,,,,,,,,
河根中学校,河根,,,,九度山町,避難所 屋内避難先 屋外避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,,135.5784576,34.2735429,,,280,九度山町河根77,,,,,,,,,,,,,,,
九度山文化スポーツセンター,町内全域,,,,九度山町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,,135.554096,34.294364,,,,九度山町入郷637-6,,,,,,,,,,,,,,,
九度山町民武道館,入郷,慈尊院,,,九度山町,避難所 屋内避難先 ,風水害 地震,,☆,,耐震性有り,,,,135.5530907,34.2945754,,,70,九度山町入郷637-5,,,,,,,,,,,,,,,
入郷コミュニティ消防センター,入郷,慈尊院,,,九度山町,避難所 屋内避難先 ,風水害 地震,,☆☆,,耐震性有り,有,毛布,,135.5548529,34.2940175,,,30,九度山町入郷23-1,,,,,,,,,,,,,,,
九度山町ふるさとセンター,,,,,九度山町,避難所 ,風水害 ,,☆☆☆,,,,,,135.5620623,34.28732537,,,,九度山町九度山1190-1,,,,,,,,,,,,,,,
九度山東集会所,東第一,,,,九度山町,避難所 屋内避難先 ,風水害 ,,☆,,,,,,135.5674588,34.2884597,,,33,九度山町九度山619-1,,,,,,,,,,,,,,,
旭集会所,旭,さくら,,,九度山町,避難所 屋内避難先 ,風水害 ,,☆,,,,,,135.55958,34.2873981,,,32,九度山町九度山1290,,,,,,,,,,,,,,,
九度山西集会所,神明,千代ヶ丘,西第２,,九度山町,避難所 屋内避難先 ,風水害 ,,☆,,,,,,135.5584882,34.2908441,,,11,九度山町九度山1473-1,,,,,,,,,,,,,,,
九度山児童館,桃園,中組,盛栄,,九度山町,避難所 屋内避難先 ,風水害 ,,☆,,,,,,135.5613007,34.2917296,,,33,九度山町九度山1671-1,,,,,,,,,,,,,,,
入郷児童館,入郷,,,,九度山町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,,,135.5566152,34.2925958,,,35,九度山町入郷82,,,,,,,,,,,,,,,
慈尊院児童館,慈尊院,西島,,,九度山町,避難所 屋内避難先 ,風水害 ,,☆,,,,,,135.5487243,34.296126,,,34,九度山町慈尊院112-5,,,,,,,,,,,,,,,
西島児童会館,西島,,,,九度山町,避難所 屋内避難先 ,風水害 ,,☆,,,,,,135.5383171,34.2960282,,,8,九度山町慈尊院499,,,,,,,,,,,,,,,
河根峠集会所,河根峠,,,,九度山町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,,135.5771322,34.2772037,,,9,九度山町河根513-2,,,,,,,,,,,,,,,
繁野集会所,繁野,,,,九度山町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,,135.5793901,34.281563,,,12,九度山町河根757-3,,,,,,,,,,,,,,,
九度山町中央公民館,町内全域,,,,九度山町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,,135.5618192,34.287671,,,150,九度山町九度山1194,,,,,,,,,,,,,,,
丹生川小学校,丹生川一,丹生川二,,,九度山町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,,,135.6066,34.2769,,,60,九度山町丹生川582,,,,,,,,,,,,,,,
下古沢コミュニティ消防センター,下古沢,,,,九度山町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,耐震性有り,,,,135.5543,34.2689,,,,九度山町下古沢243-2,,,,,,,,,,,,,,,
農林総合研修センター「さえもん」,田摩,丹生川一,,,九度山町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,,,135.5919,34.2718,,,,九度山町丹生川246-1,,,,,,,,,,,,,,,
文化財伝承館「ふれあい」,椎出,長坂,,,九度山町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,耐震性有り,,,,135.5655,34.2715,,,26,九度山町椎出410-25,,,,,,,,,,,,,,,
