名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
落合公民館,落合  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,88,135.2121590 ,33.9703300 ,,,,,,30,,広川町大字上津木448-1,
柳瀬公民館,柳瀬  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,20,135.1910180 ,34.0187060 ,,,,,,30,,広川町大字柳瀬253,
名島集会場,名島  ,,,,広川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,7,135.1828000 ,34.0228380 ,,,,,,30,,広川町大字名島405,築年数25年～30年
南広小学校西広分校,西広  唐尾 ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,5,135.1524360 ,34.0063560 ,,,,,,127,,広川町大字西広15,
南広小学校井関分校,井関  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,41,135.1897788 ,34.0071054 ,,,,,,87,,広川町大字井関1053,
南広小学校,広 南広  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,33,135.1756975 ,34.0129567 ,,,,,,501,,広川町大字上中野1175,
南広公民館,上中野  殿  南金屋,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,20,135.1792680 ,34.0135280 ,,,,,,30,,広川町大字南金屋244-2,
南金屋公民館,南金屋,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,20,135.1795090 ,34.0137570 ,,,,,,30,,広川町大字南金屋243,
東中集会場,東中  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,11,135.1855590 ,34.0188550 ,,,,,,30,,広川町大字東中203-1,
唐尾公民館,唐尾  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,4,135.1461667 ,34.0049444 ,,,,,,30,,広川町大字唐尾1573,
殿集会所,殿  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,19,135.1868570 ,34.0133450 ,,,,,,30,,広川町大字殿305,
津木中学校,寺杣  滝原 ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,NTT孤立防止衛星電話設置,70,135.2130522 ,33.9805152 ,,,,,,220,,広川町大字下津木716,
津木小学校,中村  落合 ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,109,135.2117996 ,33.9700209 ,,,,,,166,,広川町大字上津木431,
津木公民館,津木  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,62,135.2142100 ,33.9794250 ,,,,,,15,,広川町大字下津木743,
津波防災教育センター3階,広（西町）  広(東町）,,,,広川町,避難所を兼ねる避難場所,津波,津波浸水予測地域,,☆,耐震　,有,○,○,毛布・マット・飲料・食糧・生理用品等,4,135.1734759 ,34.0258554 ,○,,○,,,500,,広川町大字広671,
猪谷集会所,猪谷  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,215,135.1847282 ,33.9787657 ,,,,,,30,,広川町大字上津木1791-1,
中村区民センター,中村  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,106,135.1986150 ,33.9708260 ,,,,,,30,,広川町大字上津木805,
池ノ上区集会所,池ノ上  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,24,135.1664610 ,34.0139550 ,,,,,,30,,広川町大字山本924-17,
男山焼会館,広、南広,,,,広川町,避難所を兼ねる避難場所,津波,,,☆☆☆,耐震　,,,,,,135.1782000 ,34.0156550 ,,,,,,30,,広川町大字上中野88-2,
滝原公民館,滝原  ,,,,広川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,115,135.2284110 ,33.9747820 ,,,,,,30,,広川町大字下津木1573-4,建設年不明
耐久中学校,広（西町）  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,3,135.1690570 ,34.0242160 ,,,,,,995,,広川町大字広1123,
前田公民館,前田  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,72,135.2033806 ,33.9928545 ,,,,,,30,,広川町大字前田540,
西広公民館,西広  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,一部増設,4,135.1564230 ,34.0093790 ,,,,,,30,,広川町大字西広628-1,
西・北集会所,西之町  北之町 ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,3,135.1784083 ,34.0294000 ,,,,,,27,,広川町大字広241-1,
上中野集会所,上中野  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,14,135.1755570 ,34.0143760 ,,,,,,30,,広川町大字上中野1188,
寺杣集会所,寺杣  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,63,135.2142100 ,33.9794250 ,,,,,,15,,広川町大字下津木743,津木公民館と併設
山本区集会場,山本  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,24,135.1674550 ,34.0140270 ,,,,,,30,,広川町大字山本510-6,
