名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
湯浅町役場庁舎,湯浅 青木 別所,,,3Fホール,湯浅町,避難所を兼ねる避難場所,地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,アルファ米、飲料水、毛布、浄水器,,135.1903990 ,34.0297695 ,○,○,○,,,190,,湯浅町大字青木668-1,
田保育所,田,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,,135.1562670 ,34.0563456 ,,,,,,110,,湯浅町大字田558-6,2人/3.3㎡
南栄老人憩の家,湯浅  ,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　,津波浸水予測地域,☆☆☆,,,,,,,4.1,135.1793218 ,34.0339325 ,,,,120.9,,120,,湯浅町大字湯浅1033,人/㎡
湯浅町民体育館,湯浅,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　津波,,☆☆☆,☆,耐震　,有,○,○,簡易トイレ、投光器、救急箱、アルファ米、長期保存水,4.2,135.1816093 ,34.0344314 ,○,,○,733,,440,,湯浅町大字湯浅1546,2人/3.3㎡
湯浅小学校講堂,湯浅,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　津波,,☆☆☆,☆,耐震　,有,○,,簡易トイレ、投光器、救急箱、,4,135.1814185 ,34.0354768 ,○,,○,797.9,,480,,湯浅町大字湯浅1570,2人/3.3㎡
田村出荷組合第二集荷場,田  ,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,,有,○,○,,11.5,135.1571020 ,34.0568241 ,○,,○,332.9,,200,,湯浅町大字田565-6,2人/3.3㎡
田体育館,田,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,,耐震　,,,,,1.5,135.1515248 ,34.0549880 ,,,,590.9,,350,,湯浅町大字田369-5,2人/3.3㎡
山田小学校体育館,山田,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,有,○,○,毛布、簡易トイレ、投光器、救急箱、浄水器、アルファ米、長期保存水,50,135.2034070 ,34.0278847 ,○,,○,385,,230,,湯浅町大字山田1920,2人/3.3㎡
山田公民館,山田,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,有,○,○,飲料水、簡易トイレ、投光器、救急箱、アルファ米,49.8,135.2065130 ,34.0284985 ,○,,○,189,,110,,湯浅町大字山田1334-2,2人/3.3㎡
県立耐久高等学校体育館,湯浅  ,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,有,○,,簡易トイレ、投光器、救急箱、浄水器,7.4,135.1844230 ,34.0362056 ,○,,○,1154,,690,,湯浅町大字湯浅1985,2人/3.3㎡
吉川公民館,吉川,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,有,○,○,簡易トイレ、投光器、救急箱、アルファ米、長期保存水,18.3,135.1826646 ,34.0490403 ,○,,○,178.6,,100,,湯浅町大字吉川269,2人/3.3㎡
横田文化会館,湯浅 栖原 吉川,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,有,○,○,簡易トイレ、投光器、救急箱、アルファ米、長期保存水,8.9,135.1932881 ,34.0429168 ,○,,○,146.7,,80,,湯浅町大字栖原6,2人/3.3㎡
ふれあいプラザ,湯浅 別所,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,簡易トイレ、投光器、救急箱、アルファ米、長期保存水,12.6,135.1847494 ,34.0327478 ,○,,○,119.6,,70,,湯浅町大字別所61-1,2人/3.3㎡
県立耐久高等学校武道館,湯浅  ,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,,,,,7.4,135.1840190 ,34.0361547 ,,,,564,,340,,湯浅町大字湯浅1985,2人/3.3㎡
ライフケア有田,横田,,,,湯浅町,福祉避難所,地震　,,,,耐震　,有,○,○,備蓄米、長期保存水、長期保存食料,,135.1931218 ,34.0462375 ,○,,○,,,20,,湯浅町大字吉川52-1,
地域福祉センター,湯浅,,,２F,湯浅町,福祉避難所,洪水　崖崩れ・土石流及び地滑り　地震　津波,浸水予測地域　津波浸水予測地域,☆☆,☆,耐震　,有,○,○,アルファ米、長期保存水、長期保存食料,2.3,135.1774250 ,34.0375640 ,○,○,,334.2,,30,,湯浅町大字湯浅1675-1,2人/3.3㎡
平安の森,湯浅,,,,湯浅町,福祉避難所,崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,,,耐震　,,,,,,135.1937553 ,34.0285484 ,,,,,,25,,湯浅町大字青木938-1,
平安のまち,湯浅,,,,湯浅町,福祉避難所,地震　,,,,耐震　,,,,,,135.1881892 ,34.0288481 ,○,,○,,,70,,湯浅町大字青木826-1,
なぎ園,吉川,,,,湯浅町,福祉避難所,崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,,,耐震　,有,○,○,流動食、長期保存水,,135.1853530 ,34.0467259 ,,,,,,20,,湯浅町大字吉川160,
つくし共同作業所,栖原,,,,湯浅町,福祉避難所,地震　,,,,耐震　,有,○,○,缶パン、長期保存水,,135.1819312 ,34.0438457 ,,,,,,20,,湯浅町大字栖原187-1,
潮光園,湯浅,,,,湯浅町,福祉避難所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　津波浸水予測地域,,,耐震　,有,○,○,備蓄米、長期保存水、濃厚流動食,,135.1740570 ,34.0393739 ,○,○,,,,5,,湯浅町大字湯浅2600-3,
ケアランド湯浅,湯浅,,,,湯浅町,福祉避難所,地震　津波,津波浸水予測地域,,,,,,,,,135.1713824 ,34.0350606 ,,,,,,10,,湯浅町大字湯浅2834,
