名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
上野会館,名田,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,,135.1814370 ,33.8296759 ,,,,,,30,60,御坊市名田町　上野1569-3,
薗津波避難タワー,御坊,,,,御坊市,避難場所,津波,浸水予測地域　津波浸水予測地域,,☆☆,耐震　,,,,,,135.1616160 ,33.8871581 ,,,,,,,800,御坊市薗980-2,
下富安集会場,湯川地区,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波,,☆☆☆,☆☆☆,,,,,,25,135.1623640 ,33.9192713 ,,,,,,25,50,御坊市湯川町　富安1481,
西富安集会所,湯川地区,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,津波浸水予測地域,☆☆☆,,,,,,,3.8,135.1519880 ,33.9162835 ,,,,,,25,50,御坊市湯川町　富安1659-2,
鳳生寺,湯川地区,,,,御坊市,避難場所,津波,,,☆☆☆,,,,,,18,135.1614470 ,33.9132716 ,,,,,,,1000,御坊市湯川町　富安2133,
祓井戸会館,名田,,,津波時は2階以上,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,津波浸水予測地域,☆☆☆,☆☆,耐震　,有,○,,毛布他,11,135.1647590 ,33.8554734 ,,,,,,40,80,御坊市名田町　野島3403,
大成中学校,藤田,,,建物内及びグラウンド,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,18,135.1800020 ,33.9149480 ,,,,,,340,4300,日高川町大字土生1228-2,
野島会館,名田,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布他,16,135.1718980 ,33.8425104 ,,,,,,25,50,御坊市名田町　野島1747,
野口会館,野口,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布他,8.5,135.1827400 ,33.9026153 ,,,,,,60,120,御坊市野口1339,
野口コミュニティセンター,野口,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布他,8.5,135.1840750 ,33.8984963 ,,,,,,25,50,御坊市野口254,
明神川会館,塩屋,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布他,19.5,135.1997640 ,33.8720322 ,,,,,,30,60,御坊市明神川615-3,
名田中学校,名田,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,乾パン、毛布、仮設トイレ、発電機、投光機他,56.8,135.1827040 ,33.8345009 ,○,○,,,,360,720,御坊市名田町　上野1348-15,
日高高等学校,御坊,,,津波時は北側4階建て校舎,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,津波浸水予測地域,☆☆☆,☆☆,耐震　,有,○,,毛布他,4.8,135.1578260 ,33.8963634 ,,,,,,990,1980,御坊市島45,
楠井会館,名田,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布他,15,135.1921330 ,33.8215501 ,,,,,,30,60,御坊市名田町　楠井1940-2,
藤田会館,藤田,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布、仮設トイレ他,6.5,135.1678650 ,33.9041628 ,,,,,,145,290,御坊市藤田町　吉田288-1,
藤田コミュニティセンター,藤田,,,,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布他,7.5,135.1730730 ,33.9057601 ,,,,,,55,110,御坊市藤田町　藤井2119-1,
湯川文化会館,湯川,,,津波時は2階以上,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,津波浸水予測地域,☆☆☆,☆☆,耐震　,有,○,,毛布他,3,135.1523030 ,33.9155902 ,,,,,,60,120,御坊市湯川町　富安1913-7,
湯川中学校,御坊 湯川,,,津波時はグラウンド,御坊市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,乾パン、アルファ米、毛布、仮設トイレ、発電機、投光機他,6.8,135.1635090 ,33.9067569 ,○,○,,,,2418,4836,御坊市湯川町　小松原50,
