名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
和佐小学校,和佐,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,有,○,,発電機・投光器・毛布,19.1,135.2102690 ,33.8990960 ,○,,○,532,2600,1044,,日高川町大字和佐1549,
老人憩いの家「望月荘」,坂野川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,76,135.2954710 ,33.9276270 ,,,,72,,24,,日高川町大字坂野川362-1,
老人憩いの家「清流荘」,平岩,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,128,135.3522690 ,33.9792170 ,,,,66,,22,,日高川町大字原日浦57-1,
老人憩いの家「歳の神荘」,西原,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,70,135.2866090 ,33.9629310 ,,,,91,,30,,日高川町大字西原384-3,
林松寺,笠松,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,210,135.3871480 ,33.9563540 ,,,,100,350,150,,日高川町大字初湯川532,
療養温泉館,猪谷,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,228,135.4225850 ,33.9677440 ,,,,427,460,295,,日高川町大字初湯川1587,
李公民館,李,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,315,135.3868100 ,33.9923610 ,,,,70,,23,,日高川町大字愛川388,
役場中津支所,高津尾 西原 本郷,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,54,135.2877670 ,33.9608580 ,○,,○,1659,,553,,日高川町大字高津尾29,
矢田コミュニティセンター,小熊,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,16.2,135.1905380 ,33.9138380 ,,,,60,,20,,日高川町大字小熊2508-1,
弥谷公民館,弥谷,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,187,135.3590760 ,33.9866410 ,,,,33,,11,,日高川町大字弥谷31,
鳴滝温泉館,中木,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,65,135.3002830 ,33.9482020 ,,,,200,,67,,日高川町大字高津尾852,
保健福祉センター,川原河 皆瀬 上越方 下越方,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,132,135.3674090 ,33.9827630 ,○,,○,2599,,866,,日高川町大字川原河261,
遍照寺,愛川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,294,135.3831620 ,33.9821620 ,,,,100,,33,,日高川町大字愛川113,
平集会所,平,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,,,,,,225,135.3852380 ,33.9605450 ,,,,80,,27,,日高川町大字初湯川213-293,
美山中学校,川原河 皆瀬,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,133,135.3662050 ,33.9815480 ,○,,○,567,5700,2089,,日高川町大字川原河133,
美山漕艇場,串本,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,221,135.3975650 ,33.9619910 ,,,,395,,132,,日高川町大字串本2204-1,
畑ヶ瀬集会所,坂野川,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,86,135.3074550 ,33.9253750 ,,,,121,,40,,日高川町大字坂野川570,
