名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
印南避難センター,浜　地方,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆☆,☆☆☆,耐震　,,,,,,135.2261201 ,33.8172599 ,,,,,,100,100,印南町大字印南1307,
印南町公民館,浜　地方　宇杉　本郷　津井　光川　山口,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆,耐震　,,,,,,135.2176750 ,33.8181033 ,,,,,,100,,印南町大字印南,
樮川集会場,樮川  ,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,71,135.2860842 ,33.8445945 ,,,,,,18,,印南町大字樮川707,
島田集会所,島田  ,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,津波浸水予測地域,☆☆☆,☆,耐震　,,,,,5,135.2413532 ,33.7960368 ,,,,,,32,,印南町大字島田1173-1,
津井コミュニティセンター,津井  ,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,24,135.2042561 ,33.8146068 ,,,,,,11,,印南町大字津井306,
丹生多目的集会施設,丹生  崎ノ原  皆瀬川,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆☆☆,耐震　,有,○,,毛布,72,135.2823020 ,33.8686200 ,,,,,,20,,印南町大字丹生439-1,
滝ノ口コミュニティーセンター,印南原  ,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,38,135.2275960 ,33.8491500 ,,,,,,20,,印南町大字印南原698-2,
川又集会センター,川又,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,253,135.3712325 ,33.9010989 ,,,,,,30,,印南町大字川又,
西ノ地集会場,西ノ地 高垣 ,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,津波浸水予測地域,☆☆☆,☆☆,耐震　,,,,,9,135.2446867 ,33.8042671 ,,,,,,12,,印南町大字西ノ地1370-2,
