名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
養護老人ホームときわ寮,,,,,由良町,福祉避難所,,,,,,,,,,,135.1239360 ,33.8933854 ,,,,,,,,美浜町大字和田1138-180,
特別養護老人ホームときわ寮,,,,,由良町,福祉避難所,,,,,,,,,,,135.0866730 ,33.8930592 ,,,,,,,,美浜町大字三尾9,
地域福祉センター,黒田,,,,由良町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆☆☆,耐震　,,,,,19.3,135.1090215 ,33.9763107 ,,,,469,,233,,由良町大字衣奈80-88,
鷲林寺,三尾川,,,,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆（注）,☆☆☆,耐震　,,,,,56.3,135.1360152 ,33.9933401 ,,,,87,,43,,由良町大字三尾川155,
蓮専寺,南,,,,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　内水氾濫　地震　津波,土砂災害予測地域　,☆,☆☆☆,耐震　,,,,,11.6,135.1207338 ,33.9584391 ,,,,113,,56,,由良町大字里1182,
由良文化センター,南,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　津波浸水予測地域,☆,,,,,,,3.6,135.1222398 ,33.9592482 ,,,,90,,45,,由良町大字里1126-3,
由良農村教養文化体育センター,網代,,,,由良町,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,津波浸水予測地域,☆☆☆,,耐震　,,,,,2,135.1149211 ,33.9609785 ,,,,817,,408,,由良町大字網代248-12,
由良中学校,南  阿戸,,,,由良町,避難所を兼ねる避難場所,高潮　地震　津波,土砂災害予測地域　津波浸水予測地域,☆☆☆,,耐震　,,,,,2.6,135.1163958 ,33.9590828 ,,,,1878,,938,,由良町大字阿戸708-1,
由良小学校,里  横浜  網代,,,,由良町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆,☆,耐震　,,,,,,135.1214533 ,33.9608461 ,,,,1143,,571,,由良町大字里166,宅盤4.0ｍ2階　8.8ｍ屋上　16.9ｍ
