名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
農村環境改善センター,市ノ瀬 下鮎川 ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,32,135.4630871 ,33.7130291 ,,,,885,,265,,上富田町市ノ瀬619-2,
農業構造改善センター,岡  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,34,135.4431882 ,33.7248581 ,,,,193,,60,,上富田町岡640-12,
南紀の台会館,南紀の台  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,69,135.4062914 ,33.6990103 ,,,,135,,25,,上富田町南紀の台1805-635,
田熊会館,岩田  ,,,,上富田町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,,,,,,24,135.4421934 ,33.6999971 ,,,,73,,40,,上富田町岩田712,
鳥渕会館,生馬  ,,,,上富田町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,耐震　,,,,無線機設置,71,135.4674255 ,33.6888345 ,,,,50,,15,,上富田町生馬2731,
なのはな保育所,朝来,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,14,135.4167635 ,33.7005519 ,,,,1870,,200,,上富田町朝来2402-1,
中央コミュニティ消防センター,朝来 生馬  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,○,アルファ米・スティックパン他,21,135.4315375 ,33.6936929 ,,,,300,,50,,上富田町生馬725-1,
大谷総合センター,朝来  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,,有,○,,ブルーシート・毛布・トイレ他,19,135.4214820 ,33.7057853 ,,,,964,,150,,上富田町朝来3992-3,
大谷高齢者憩の家,朝来  ,,,,上富田町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,,,,,,16,135.4198319 ,33.7034636 ,,,,282,,50,,上富田町朝来3176-1,
