名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
太間地集会所,太間地,,,,すさみ町,避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆☆,,,,,,,,135.5253130 ,33.5622529 ,,,,,,30,,すさみ町周参見1826,
大関地集会所,大関地,,,,すさみ町,避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,,,,,,,135.5253130 ,33.5622529 ,,,,,,40,,すさみ町周参見2545,
入松集会所,入松,,,,すさみ町,避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆,☆☆☆,,,,,,,135.5253130 ,33.5622529 ,,,,,,20,,すさみ町周参見1146-6,
地域福祉センター,本城 堀地 下地一 下地二,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆☆,,耐震　,,,,,3,135.4956986 ,33.5499822 ,,,,,,80,,すさみ町周参見4133,
里野集会所,里野  ,,,最終集合場所,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,28,135.6268143 ,33.5087860 ,,,,,,30,,すさみ町里野526,
防己集会所,防巳  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆（注）,,耐震　,,,,,227,135.6028380 ,33.5754863 ,,,,,,30,,すさみ町防己72,
大鎌僻地集会所,大鎌  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆（注）,,,,,,,195,135.6249487 ,33.5515305 ,,,,,,25,,すさみ町大鎌237,
小泊生活改善センター,小泊  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆（注）,,,,,,,7,135.4883131 ,33.5507464 ,,,,,,50,,すさみ町周参見4596,
周参見中学校,防地  田中 石橋,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆☆,,耐震　,,,,,5,135.4999931 ,33.5546991 ,,,,,,250,,すさみ町周参見3692,
周参見小学校,石橋 本城 堀地,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆,,耐震　,,,,,4,135.4977173 ,33.5512514 ,,,,,,120,,すさみ町周参見4027,
江住小学校,見老津 江住 江須之川 里野,,,津波避難目標地点,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,32,135.6004968 ,33.5072763 ,,,,,,100,,すさみ町江住735,
見老津小学校,見老津  ,,,津波避難目標地点,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,23,135.5801747 ,33.5096093 ,,,,,,100,,すさみ町見老津404,
旧佐本小学校,佐本  大谷 防巳,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,,,,,,149,135.6274830 ,33.5911353 ,,,,,,100,,すさみ町佐本中92,
すさみ町商工会館,田中 石橋 本城,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,浸水予測地域　津波浸水予測地域,☆（注）,,,,,,,5,135.4971201 ,33.5525269 ,,,,,,20,,すさみ町周参見3911-4,
すさみ漁業協同組合,平松 小泊 ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　津波浸水予測地域,☆（注）,,耐震　,,,,,4,135.4906039 ,33.5490674 ,,,,,,20,,すさみ町周参見4866-7,
けんゆう苑,,,,,すさみ町,福祉避難所,,,,,,,,,,,135.6008513 ,33.5054715 ,,,,,,,,すさみ町江住800,
吉田組プラント付近県道,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,15,135.6026065 ,33.5142236 ,,,,,,,,すさみ町江住,
