名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
殿原地区老人憩いの家,殿原,,,,田辺市,避難場所,崖崩れ・土石流及び地滑り,土砂災害予測地域,☆,,,,,,,,135.5293590 ,33.8964165 ,,,,,,,,田辺市龍神村　殿原399,
川湯みどりや,川湯,,,,田辺市,避難場所,洪水,,☆☆,,,,,,,,135.7700320 ,33.8130810 ,,,,,,,,田辺市本宮町　川湯13,
面川避難所,面川,,,,田辺市,避難場所,崖崩れ・土石流及び地滑り,,☆,,,,,,,,135.5965250 ,33.6869644 ,,,,,,,,田辺市面川584-1,
闘?神社裏高台,高雄　湊,,,,田辺市,避難場所,津波,,,☆☆☆,,,,,,11.5,135.3843226 ,33.7298127 ,,,,,,,,田辺市東陽1-1,
廣井原農林漁家婦人活動促進施設（広栄会館）,廣井原  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,353,135.5189979 ,33.9220960 ,,,,56,,17,,田辺市龍神村　広井原-3,
蕨尾集会所,鮎川  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,227,135.5072861 ,33.7462317 ,,,,19,,6,,田辺市鮎川1207,
和田集会所,和田  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,307,135.6106638 ,33.7761038 ,○,,○,148,,45,,田辺市和田253-2,
和歌山県立情報交流センター（Big-U）,新庄町 神島台 たきない,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布,50,135.3958386 ,33.6959363 ,,,,993,,301,,田辺市新庄町3353-9,
林業者等健康増進センター,安井,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,303,135.4751501 ,33.8855951 ,,,,1228,,372,,田辺市龍神村　安井,
緑の学習館,熊野,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,発電機など,316,135.6149007 ,33.7127016 ,○,,○,128,,39,,田辺市熊野394,
龍神保健センター,西,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,,312,135.4878141 ,33.8953982 ,,,,207,,63,,田辺市龍神村　西,
