,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,,,,,,,,,,,,,,
避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,,,,,,,,,,,,,,
中央公民館,高池（上部）地区,宇津木地区,,,古座川町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,耐震性有り,,,23,135.8160718,33.534304,,,187,古座川町高池777,,,,,,,,,,,,,,
古座川町複合センター,高池（下部）地区,,,,古座川町,避難所 屋内避難先 津波避難ビル ,風水害 津波 地震,土砂災害浸水予測地域 津波浸水予測地域,☆☆,☆,耐震性有り,,,6,135.8199383,33.5266084,,,53,古座川町高池253,,,,,,,,,,,,,,
月野瀬集会所,月野瀬地区,宇津木地区,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,10,135.7963749,33.5416442,,発電機有り ,38,古座川町月野瀬520,,,,,,,,,,,,,,
ぼたん荘,月野瀬地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,,,,135.789462,33.535897,,,,古座川町月野瀬881-1,,,,,,,,,,,,,,
池野山集会所,池野山地区,高池（上部）地区,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,12,135.8226941,33.5392075,,発電機有り ,80,古座川町池野山355-2,,,,,,,,,,,,,,
楠集会所,楠地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆,,,,,184,135.8223322,33.5727143,,,15,古座川町楠189,,,,,,,,,,,,,,
長徳寺,高瀬地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆,,,,,17,135.7775183,33.5351033,,発電機有り ,30,古座川町高瀬362,,,,,,,,,,,,,,
川口集会所,川口地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,27,135.7781972,33.54259444,,発電機有り ,39,古座川町川口221-1,,,,,,,,,,,,,,
中崎集会所,中崎地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,49,135.7730847,33.5649991,,,36,古座川町中崎242-2,,,,,,,,,,,,,,
直見集会所,直見地区,川口地区,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,12,135.7785517,33.5522007,,発電機有り ,38,古座川町直見487,,,,,,,,,,,,,,
明神生活改善センター,明神地区,,,,古座川町,避難所 屋内避難先 ,地震,,,,耐震性有り,有,アルファ米・毛布・自家発電機,16,135.7602211,33.5379153,,発電機有り ,89,古座川町明神436,,,,,,,,,,,,,,
一雨集会所,一雨地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,59,135.7439052,33.5359861,,発電機有り ,32,古座川町一雨187,,,,,,,,,,,,,,
明神中学校（洪水時２階）,明神地区,一雨地区,潤野地区,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,,,22,135.757548,33.537321,,発電機有り ,840,古座川町一雨16,,,,,,,,,,,,,,
潤野集会所,潤野地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,47,135.7631611,33.53668889,,発電機有り ,40,古座川町潤野549,,,,,,,,,,,,,,
大柳集会所,大柳地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,49,135.7506624,33.5345771,,発電機有り ,21,古座川町大柳380,,,,,,,,,,,,,,
鶴川集会所,鶴川地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,28,135.7454834,33.5295931,,発電機有り ,31,古座川町鶴川106-2,,,,,,,,,,,,,,
立合集会所,立合地区,立合川地区,相瀬地区,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,40,135.7287836,33.5375401,,発電機有り ,30,古座川町立合127,,,,,,,,,,,,,,
峯集会所,峯地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆,,,,,250,135.7122643,33.5333208,,,31,古座川町峯75,,,,,,,,,,,,,,
相瀬集会所,相瀬地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,90,135.7272016,33.5484799,,発電機有り ,29,古座川町相瀬227,,,,,,,,,,,,,,
山手集会所,山手地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,77,135.7550136,33.5777456,,,32,古座川町山手315,,,,,,,,,,,,,,
権平集会所,小川（椎平）地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆,,耐震性有り,,,98,135.7627903,33.5883875,,,20,古座川町小川142,,,,,,,,,,,,,,
長集会所,小川（長）地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,82,135.7665206,33.5979358,,,23,古座川町小川730,,,,,,,,,,,,,,
宝音寺,小川（洞尾）地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆,,,,,68,135.7706622,33.5935133,,,54,古座川町小川554,,,,,,,,,,,,,,
小川総合センター,小川（滝の拝）地区,宇筒井地区,他,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,アルファ米・毛布・自家発電機・衛星携帯電話,72,135.7667988,33.6036897,,発電機有り ,76,古座川町小川774-1,,,,,,,,,,,,,,
西赤木集会所,西赤木地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,129,135.7781827,33.6234956,,,11,古座川町西赤木93,,,,,,,,,,,,,,
田川集会所,田川地区,西赤木地区,小森川地区,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,,,,123,135.7838229,33.6286557,,,21,古座川町田川413,,,,,,,,,,,,,,
清雲寺,小森川地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,101,135.7842871,33.6443041,,,15,古座川町小森川175,,,,,,,,,,,,,,
放光寺,洞尾地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,33,135.7166276,33.5547033,,,30,古座川町洞尾198,,,,,,,,,,,,,,
住吉神社社務所,蔵土（下蔵土）地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,50,135.6989345,33.5500038,,,16,古座川町蔵土450,,,,,,,,,,,,,,
田野々集会所,蔵土（田野々）地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,70,135.6902646,33.5572951,,,18,古座川町蔵土38,,,,,,,,,,,,,,
三尾川小学校,三尾川地区,南平地区,他,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,57,135.6865767,33.5579331,,,563,古座川町三尾川935,,,,,,,,,,,,,,
端郷倶楽部,大川（端郷）地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆,,,,,68,135.6889525,33.5596937,,,18,古座川町大川68,,,,,,,,,,,,,,
松の前集会所,大川（松の前）地区,長追地区,大川（端郷）地区,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆,,,,,78,135.678726,33.5692982,,,23,古座川町大川490,,,,,,,,,,,,,,
長追集会所,長追地区,,,,古座川町,避難所 屋内避難先 ,地震,,,,,,,58,135.6766091,33.5759523,,発電機有り ,24,古座川町長追265,,,,,,,,,,,,,,
清源寺,長追地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆,,,,,110,135.6758811,33.5762422,,,30,古座川町長追260-2,,,,,,,,,,,,,,
真砂区民倶楽部,真砂地区,長追地区,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,66,135.6891182,33.5837055,,,23,古座川町真砂128,,,,,,,,,,,,,,
寿福寺,南平地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,149,135.6874766,33.5319632,,,30,古座川町南平294,,,,,,,,,,,,,,
七川総合集会所,佐田地区,添野川地区,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,アルファ米・毛布・自家発電機,108,135.6974514,33.593489,,,18,古座川町佐田627,,,,,,,,,,,,,,
善光寺,添野川地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,158,135.6736906,33.6160596,,,36,古座川町添野川835,,,,,,,,,,,,,,
旧七川小学校平井分校,平井地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,,,,183,135.689526,33.6432305,,,416,古座川町平井469,,,,,,,,,,,,,,
旧七川小学校,下露地区,西川地区,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,,,,135,135.7100131,33.6204627,,,484,古座川町下露441,,,,,,,,,,,,,,
西川生活改善センター,西川地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,164,135.7086575,33.6378453,,,55,古座川町西川621-1,,,,,,,,,,,,,,
成川集会所,成川地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,,,,195,135.7153678,33.6443522,,,21,古座川町成川690,,,,,,,,,,,,,,
松根集会所,松根地区,,,,古座川町,避難所 屋内避難先 ,地震,,,,,,,197,135.715476,33.6653109,,,27,古座川町松根545,,,,,,,,,,,,,,
永泉寺,松根地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆,,,,,197,135.714786,33.6660479,,,69,古座川町松根546,,,,,,,,,,,,,,
三尾川生活改善センター,三尾川地区,,,,古座川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,アルファ米・毛布・自家発電機,57,135.6864926,33.5572936,,発電機有り ,52,古座川町三尾川943,,,,,,,,,,,,,,
古座中学校グランド,高池地域,,,,古座川町,広域避難場所,津波 地震,,,☆,,,,5,135.822998,33.525115,,,,古座川町高池139,,,,,,,,,,,,,,
古座中学校（校舎）,高池地域,,,,古座川町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,,,,8,135.822998,33.525115,,発電機有り ,,古座川町高池139,,,,,,,,,,,,,,
明神小学校グランド,明神地域,,,,古座川町,広域避難場所,地震,,,,,,,22,135.756592,33.53719,,,,古座川町一雨41,,,,,,,,,,,,,,
旧小川小学校グランド,小川地域,,,,古座川町,広域避難場所,地震,,,,,,,98,135.762786,33.588416,,,,古座川町小川142,,,,,,,,,,,,,,
三尾川小学校グランド,三尾川地域,,,,古座川町,広域避難場所,地震,,,,,,,57,135.686538,33.557889,,,,古座川町三尾川935,,,,,,,,,,,,,,
旧七川小学校グランド,七川地域,,,,古座川町,広域避難場所,地震,,,,,,,135,135.709948,33.620425,,,,古座川町下露441,,,,,,,,,,,,,,
旧七川小学校西川分校,,,,,古座川町,避難所 ,風水害 地震,,☆☆☆,,,,,150,135.709062,33.637556,,,,古座川町西川595,,,,,,,,,,,,,,
