,,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,,
,,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,,
,避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,,
,串本小学校（震災時は校舎）,北,西,他,,串本町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,有,無線機,5.6,135.7796,33.467222,,,285,串本町串本776,,
,串本中学校（震災時は校舎）屋上,堀笠嶋,,,,串本町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,,,4.7,135.783141,33.45928,,,571,串本町串本1620,,
,串本高校体育館,南,堀笠嶋,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆☆,☆☆☆,耐震性有り,有,アルファ米、間仕切り,10.5,135.7794181,33.4614075,,,1156,串本町串本1522,,
,串本幼稚園,矢ノ熊,,,,串本町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,,5.9,135.7776489,33.47297,,,460,串本町串本508-3,,
,串本保育所,矢ノ熊,,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,4.9,135.780972,33.468914,,,740,串本町串本502,,
,串本町立体育館,矢ノ熊,,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,耐震性有り,,,3,135.784048,33.472426,,,1301,串本町串本2427,,
,老人憩の家｢わかしお｣,西,,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,5.9,135.7791627,33.4674597,,,197,串本町串本1252,,
,サンゴ台集会所,矢ノ熊,大水崎,くじの川,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,40.9,135.781333,33.482445,,,50,串本町サンゴ台1060-140,,
,橋杭区民集会所(平成24年度新築）,くじの川,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,有,毛布,7.7,135.7917442,33.487602,,,344,串本町くじの川1455-内1号,,
,徳泉寺,くじの川,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,無線機,31,135.7859418,33.4962276,,,,串本町くじの川214,,
,錦富小学校,高富,二色,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,有,アルファ米、間仕切り、毛布、無線機,14,135.7649943,33.48346,,,262,串本町二色360,,
,二色多目的集会所（２階）,二色,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,,耐震性有り,有,毛布,4.6,135.766932,33.482219,,,140,"串本町二色372-1,2",,
,高富地区集会施設,高富,,,,串本町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,,4.6,135.766054,33.481731,,,53,串本町高富485-3､486,,
,法雲寺,二色,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,,,6.2,135.7702612,33.4869497,,,,串本町二色227,,
,光明寺,高富,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,,有,アルファ米、保存水,15,135.763836,33.4873042,,,,串本町高富375,,
,出雲小学校,出雲,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,アルファ米,46,135.7856947,33.4478226,,,933,串本町出雲1617-21,,
,ふれあいの家,出雲,,,,串本町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,☆☆☆,耐震性有り,,,57,135.784136,33.445191,,,47,串本町出雲1614-1,,
,観福寺,出雲,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,,,9,135.7934556,33.4514586,,,,串本町出雲103,,
,和歌山県立潮岬青少年の家,出雲,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,無線機,,135.780534,33.446471,,,,,,
,潮岬小学校,潮岬,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,アルファ米、毛布,57,135.7599629,33.4476158,,,310,串本町潮岬3136,,
,潮岬中学校,潮岬,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,間仕切り、大型テント、毛布,50,135.755949,33.4486965,,,385,串本町潮岬3349,,
,潮岬公民館,潮岬,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,,有,アルファ米、保存水、毛布,66,135.7605839,33.4484162,,,353,串本町潮岬3454-1,,
,潮岬平松コミュニティーセンター,潮岬,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,アルファ米、保存水、毛布,67,135.7680197,33.4556659,,,65,串本町潮岬360-1,,
,萩尾塔石集会所,潮岬,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,アルファ米、保存水、毛布,70,135.7763003,33.4535165,,,60,串本町潮岬807-1,,
,串本西小学校（震災時は校舎２階以上）,有田,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,津波浸水予測地域,☆☆☆,,耐震性有り,有,アルファ米、間仕切り,3,135.737145,33.487353,,,335,串本町有田411,,
,有田公民館,有田,,,,串本町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,無線機、毛布,5.4,135.7369888,33.48652,,,218,串本町有田630,,
,正覚寺,有田,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,,,5,135.7362142,33.4892252,,,,串本町有田520,,
,旧田並小学校体育館,田並,,,,串本町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,,4.4,135.720043,33.485131,,,141,串本町田並1212,,
,串本西中学校（震災時は校舎２階以上）,田並,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,有,アルファ米、間仕切り、無線機,3,135.719543,33.486776,,,287,串本町田並1300,,
,田並公民館,田並,,,,串本町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,毛布,4.1,135.718292,33.482517,,,251,串本町田並910,,
,田並上多目的集会所,田並,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,無線機,7.2,135.7185601,33.4958093,,,50,串本町田並上95-3,,
,円光寺,田並,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,,,3.3,135.7163484,33.4872496,,,,串本町田並1141,,
,江田多目的集会所,江田,,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,3.6,135.703609,33.490528,,,82,串本町江田91-1,,
,海蔵寺,江田,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,有,無線機、毛布,13.2,135.7043867,33.4928866,,,,串本町江田528,,
,赤瀬公民館,安指,田子,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,,有,アルファ米、無線機、保存水,28,135.67597,33.489781,,,501,串本町和深2876,,
,田子多目的集会所,田子,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,有,無線機,4,135.683751,33.492489,,,82,串本町田子118-5,,
,願成寺,田子,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,,,13,135.682708,33.490814,,,,串本町田子89,,
,旧和深中学校体育館,和深,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,有,土嚢,9.2,135.656414,33.504482,,,,串本町和深978,,
,和深公民館,和深,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆,耐震性有り,有,毛布,6,135.659733,33.499145,,,243,串本町和深910,,
,和深総合センター,和深,,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,アルファ米、無線機、保存水,39,135.6517562,33.5019044,,,490,串本町和深689,,
,和深前地コミュニティセンター,和深,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,34,135.659316,33.498507,,,56,串本町和深697-2,,
,東地花卉集荷施設,和深,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,38,135.6577669,33.4986727,,,61,串本町和深1851,,
,小河口多目的集会所,和深,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,耐震性有り,,,16,135.6579248,33.5089717,,,61,串本町和深1170,,
,上品寺,和深,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,,,12,135.6558534,33.5032287,,,,串本町和深929,,
,里川集会所,里川,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆,☆☆☆,耐震性有り,有,アルファ米、無線機,96,135.6573632,33.5428655,,,34,串本町里川636,,
,紀伊大島開発総合センター,大島,,,,串本町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,有,無線機、毛布,9,135.804716,33.468828,,,341,串本町大島8-10,,
,大島保育所校舎付近,大島,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,,,17,135.811592,33.4731,,,,串本町大島1670,,
,蓮生寺,大島,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,,,11,135.8040277,33.4716986,,,,串本町大島77,,
,大島小学校,大島,須江,樫野,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,アルファ米、大型テント、無線機、保存水,76,135.82775,33.464136,,,354,串本町須江1577-11,,
,大島中学校,大島,須江,樫野,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,間仕切り,81,135.828831,33.463205,,,297,串本町須江1482,,
,須江コミュニティセンター,須江,,,,串本町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,☆☆☆,耐震性有り,,,72,135.82892,33.45928,,,24,串本町須江721-2,,
,須江･浜須賀集会所,須江,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,59,135.8273065,33.459165,,,66,串本町須江635,,
,南丁寺,須江,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,,,24,135.8282534,33.4575023,,,,串本町須江25,,
,樫野集会所,樫野,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,49,135.851946,33.465088,,,,串本町樫野852 ,,
,樫野青年会館,樫野,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆,,有,毛布,46,135.8507798,33.4665558,,,,串本町樫野637,,
,旧養春小学校,姫,姫川,,,串本町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,有,アルファ米、保存水、毛布,5,135.8006619,33.5011047,,,780,串本町姫27,,
,老人憩の家｢福寿荘｣,姫,姫川,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,8.4,135.796986,33.497799,,,89,串本町姫718-1,,
,海林寺,姫,姫川,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,有,無線機,10.4,135.796874,33.502044,,,,串本町姫160,,
,伊串多目的集会所,伊串,,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,有,無線機,5.2,135.804738,33.503417,,,116,串本町伊串864,,
,海蔵寺,伊串,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,有,アルファ米、毛布,10.7,135.7043867,33.4928866,,,,串本町伊串144,,
,西向小学校（校舎）,西向,神野川,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,耐震性有り,有,アルファ米、大型テント、毛布,8.4,135.8199491,33.5149438,,,260,串本町西向638,,
,西向中学校（校舎）,西向,神野川,,,串本町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,☆,耐震性有り,有,間仕切り,9,135.8180964,33.5102268,,,373,串本町西向922,,
,旧西向幼稚園,西向,神野川,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,6.5,135.820504,33.5127,,,254,串本町西向858-3,,
,西向多目的集会所,西向,神野川,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,耐震性有り,,,8.4,135.8202195,33.51441588,,,136,串本町西向648-1,,
,宗福寺,西向,神野川,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,有,保存水、毛布,16,135.816105,33.51571292,,,,串本町神野川1211,,
,成就寺,西向,神野川,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,,,6,135.822574,33.514588,,,,串本町西向396,,
,六勝寺,古田,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆,,有,アルファ米、保存水、毛布,10,135.8116126,33.5298078,,,,串本町古田197,,
,古座小学校体育館,中湊,古座,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 津波浸水予測地域,☆,☆☆,耐震性有り,有,アルファ米、間仕切り,4.7,135.826276,33.521882,,,327,串本町中湊160,,
,県立串本古座高等学校古座校舎体育館,中湊,古座,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,耐震性有り,,,9.5,135.8272921,33.5230515,,,1066,串本町中湊377,,
,古座公民館,中湊,古座,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,耐震性有り,,,21,135.831355,33.517088,,,151,串本町中湊65,,
,中湊コミュニティセンター,中湊,古座,,,串本町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,☆,,,,7,135.828944,33.518947,,,127,串本町中湊163-12,,
,古座神社,中湊,古座,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,,,20,135.82977,33.514586,,,,串本町古座346-8,,
,串本町古座福祉センター,上野山,津荷,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,68,135.833459,33.518338,,,791,串本町上野山291-4,,
,上野山保育所,上野山,津荷,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,48,135.837628,33.512389,,,,串本町上野山143,,
,津荷集会所,津荷,,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,有,無線機、アルファ米、保存水、毛布,4,135.8407273,33.5198905,,,120,串本町津荷376,,
,永明寺,津荷,,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,,,,13,135.841419,33.516894,,,,串本町津荷533,,
,田原小学校（震災時は校舎２階以上）,田原,古座ヴィラ,,,串本町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,☆,,有,アルファ米,4.1,135.8682244,33.5388726,,,223,串本町田原725,,
,旧田原中学校（震災時は校舎２階以上）,田原,古座ヴィラ,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,土砂災害浸水予測地域 津波浸水予測地域,☆,☆,耐震性有り,有,大型テント、間仕切り,4.1,135.867995,33.537659,,,278,串本町田原700,,
,山村交流センター,田原,古座ヴィラ,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,,,3.7,135.871104,33.532355,,,200,串本町田原277-4,,
,田原区民会館,田原,古座ヴィラ,,,串本町,避難所 屋内避難先 ,風水害 ,,☆☆☆,,,有,ブルーシート,4.2,135.871923,33.533472,,,,串本町田原540,,
,古座ヴィラ集会所,田原,古座ヴィラ,,,串本町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,無線機、アルファ米、保存水、毛布,58,135.862639,33.529112,,,,"串本町田原3704-101,102",,
,上田原生活改善センター,上田原,佐部,,,串本町,避難所 屋外避難先 ,地震,,,☆☆,,,,10.4,135.8698044,33.561079,,,67,串本町上田原867-1,,
,佐部集会所,上田原,佐部,,,串本町,避難所 屋内避難先 屋外避難先 ,風水害 地震,,☆☆☆,☆☆☆,耐震性有り,,,12,135.8558598,33.5499262,,,72,串本町佐部320,,
,串本町役場第２庁舎（震災時は庁舎２階以上）,西向,,,,串本町,津波避難ビル ,風水害 津波 地震,土砂災害浸水予測地域 津波浸水予測地域,☆☆☆,☆,耐震性有り,有,アルファ米、毛布、衛星携帯電話、無線機,3.9,135.822887,33.518133,,,,串本町西向359,,
,紀乃国屋ビル（屋上）,矢ノ熊,,,,串本町,津波避難ビル ,津波 ,津波浸水予測地域,,☆,,有,簡易トイレ,13,135.781456,33.472252,,,,串本町串本1801,,
