名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
たづはら保育園,田鶴原町　蓬莱　王子町　丸山,,,,新宮市,避難場所,地震　津波,浸水予測地域　津波浸水予測地域,,☆,,,,,,,135.9986250 ,33.7223434 ,,,,,220,440,,新宮市田鶴原町１丁目3-10,
蓬莱保育所,熊野地　あけぼの　阿須賀　蓬莱　伊佐田町　池田　徐福　丸山,,,,新宮市,避難場所,洪水　地震　津波,浸水予測地域　津波浸水予測地域,☆,☆,,,,,,9,135.9964530 ,33.7243803 ,,,,500,,1000,,新宮市徐福２丁目4-1,
丹鶴体育館,下本町 新町 船町 仲之町・横町 谷王子町 伊佐田町・池田,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,津波浸水予測地域,☆☆,,,,,,,,135.9897862 ,33.7308988 ,,,,370,,185,,新宮市下本町２丁目2-1,
鴻田会館,,,,,新宮市,避難所,洪水　,土砂災害予測地域　,☆☆☆,,耐震　,有,○,,,10,135.9860173 ,33.7105694 ,,,,210,,210,,新宮市新宮3701-4,
木ノ川会館,,,,,新宮市,避難所,,浸水予測地域　,,,耐震　,,,,,15,135.9611059 ,33.6821100 ,,,,,,90,,新宮市木ノ川423,
老人憩いの家福寿園,相筋  ,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆（注）,,,,,,,9.2,135.9808229 ,33.7339549 ,,,,90,,90,,新宮市相筋１丁目10-7,
緑丘会館,緑ヶ丘  ,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,浸水予測地域　,☆,,耐震　,,,,,4.4,135.9917168 ,33.7208294 ,,,,90,,90,,新宮市緑ケ丘１丁目6-4,
野田隣保館,野田  ,,,津波避難時は2階,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,浸水予測地域　,☆☆,☆,耐震　,,,,,4.5,135.9932081 ,33.7226965 ,,,,150,,150,,新宮市野田5-33,
蓬莱会館,蓬莱  丸山 ,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,浸水予測地域　津波浸水予測地域,☆,,耐震　,,,,,4.3,135.9968462 ,33.7228486 ,,,,210,,210,,新宮市丸山3-16,
浮島隣保館・児童館,千穂  浮島 ,,,津波避難時は2階,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆,耐震　,,,,,6.8,135.9915229 ,33.7253416 ,,,,540,,540,,新宮市浮島1-10,
広角会館,新宮（丸山）  新宮（広角）,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,,,,,46,135.9892630 ,33.7065622 ,,,,217,,160,,新宮市新宮2518-3,
天理教南海大教会,阿須賀 蓬莱 伊佐田町・池田 徐福,,,津波避難時は駐車場,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆,☆☆☆,,,,,,22,135.9940048 ,33.7298583 ,,,,960,1000,1960,,新宮市池田１丁目1-26,
大浜会館,王子  ,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,津波浸水予測地域,☆☆☆,,耐震　,,,,,7,136.0029187 ,33.7173274 ,,,,120,,120,,新宮市王子町３丁目6-8,
新翔高等学校,佐野  三輪崎 ,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,,,,,8.9,135.9708331 ,33.6855916 ,,,,2100,,2100,,新宮市佐野1005,
新宮地域職業訓練センター,井の沢  千穂  春日 野田,,,,新宮市,避難所を兼ねる避難場所,洪水　津波,,☆☆☆,,耐震　,,,,,7,135.9928360 ,33.7241500 ,,,,,,,,新宮市春日1-35,閉鎖中（庁舎建替のため）
新宮市保健センター,千穂  春日  浮島 谷王子町,,,津波避難時は3階以上,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,8.2,135.9909440 ,33.7268850 ,,,,435,,435,,新宮市新宮451,
新宮高等学校,橋本  五新  磐盾 神倉 緑ヶ丘,,,津波避難時は3階片廊下,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,浸水予測地域　,☆,☆☆☆,耐震　,,,,,5,135.9855229 ,33.7201262 ,,,,700,,700,,新宮市神倉３丁目2-29,
松山隣保館,新宮（松山）  新宮（広角） ,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆,,耐震　,,,,,27,135.9971868 ,33.7122773 ,,,,120,,120,,新宮市新宮4643-136,
三輪崎八幡神社,三輪崎  ,,,津波避難時は境内,新宮市,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　,,☆☆☆,耐震　,,,,,30,135.9829062 ,33.6891151 ,,,,780,,780,,新宮市三輪崎1512,
三輪崎小学校,三輪崎  ,,,津波避難時は3階以上,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆,☆☆☆,耐震　,有,○,○,毛布、アルファ米　など,7.1,135.9807186 ,33.6847028 ,,,,2000,,2000,,新宮市三輪崎３丁目6-36,
佐野体育館,佐野  三輪崎 ,,,,新宮市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,,,,,17.7,135.9689234 ,33.6883701 ,,,,990,,990,,新宮市佐野1501,
高田中学校,高田・相賀  ,,,,新宮市,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,64,135.9102973 ,33.7345011 ,,,,,,,,新宮市高田3465-1,
