名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
老人憩いの家,小東 大東 ,,,,太地町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,4.9,135.9480695 ,33.5895051 ,,,,,,20,,太地町大字太地3728-1,
平見集会所,全  ,,,,太地町,避難所を兼ねる避難場所,洪水　津波,,☆☆,☆☆☆,,,,,,49,135.9530079 ,33.5877196 ,,,,,,30,,太地町大字太地942-1,
東明寺,新屋敷  ,,,,太地町,避難所を兼ねる避難場所,津波,,,☆☆,,,,,,10,135.9441843 ,33.5896663 ,,,,,,40,,太地町大字太地3320,
暖海避難ビル,暖海  ,,,,太地町,避難所を兼ねる避難場所,洪水　地震　津波,,☆☆☆,☆,耐震　,有,○,○,アルファ米、毛布,2.3,135.9447444 ,33.5952222 ,,,,,,100,,太地町大字太地4186,
太地幼稚園,全 小東 大東,,,,太地町,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆☆☆,耐震　,,,,,9.1,135.9427174 ,33.5887665 ,,,,,,100,,太地町大字太地3505-1,
太地防災複合施設,新屋敷 小東 大東,,,,太地町,避難所を兼ねる避難場所,洪水　地震　津波,,☆☆☆,☆,耐震　,有,○,○,アルファ米、毛布,2.9,135.9460611 ,33.5902722 ,○,,○,,,100,,太地町大字太地3393-1,
太地保育所,全 小東 大東,,,,太地町,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆☆☆,耐震　,,,,,9.1,135.9426709 ,33.5890566 ,,,,,,100,,太地町大字太地3441-1,
太地町公民館,暖海  水ノ浦 ,,,,太地町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,2,135.9438111 ,33.5945062 ,,,,,,150,,太地町大字太地3077-13,
太地中学校,全  ,,,,太地町,避難所を兼ねる避難場所,洪水　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,アルファ米、毛布,33,135.9594368 ,33.5926026 ,,,,,,200,,太地町大字太地114,
太地小学校,全 小東 大東,,,,太地町,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆☆☆,耐震　,有,○,○,アルファ米、毛布、自家発電機,9.1,135.9430199 ,33.5884288 ,○,,○,,,150,,太地町大字太地3436,
寄水クラブ,水ノ浦,,,,太地町,避難所を兼ねる避難場所,地震　,,,,耐震　,,,,,,135.9432370 ,33.5929530 ,,,,,,15,,太地町大字太地3145-2,
山中２号線,森浦,,,,太地町,避難場所,津波,,,☆☆☆,,,,,,20,135.9289968 ,33.5940741 ,,,,,,,,太地町大字森浦,
森浦防災複合施設,森浦,,,,太地町,避難場所,洪水　津波,土砂災害予測地域　浸水予測地域　,☆☆,☆,,,,,,2.3,135.9332944 ,33.5921056 ,,,,,,,,太地町大字森浦143-29,
石垣記念館裏山,常渡  ,,,,太地町,避難場所,津波,,,☆☆☆,,,,,,55,135.9430160 ,33.6010690 ,,,,,,,,太地町大字太地,
白鯨横山,暖海  ,,,,太地町,避難場所,津波,,,☆☆☆,,,,,,45,135.9454280 ,33.5980760 ,,,,,,,,太地町大字太地,
浅間山,常渡  ,,,,太地町,避難場所,津波,,,☆☆☆,,,,,,59,135.9466660 ,33.6011120 ,,,,,,,,太地町大字太地,
平見地区全域,全  ,,,,太地町,避難場所,津波,,,☆☆☆,,,,,,406,135.9526840 ,33.5879860 ,,,,,,,,太地町大字太地,
順心寺,寄子路  ,,,,太地町,避難場所,津波,,,☆☆,,,,,,3.8,135.9439754 ,33.5914953 ,,,,,,20,,太地町大字太地3186,
多目的センター,全  暖海  水ノ浦,,,,太地町,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　浸水予測地域　,☆☆,☆☆☆,耐震　,有,○,○,アルファ米、毛布,12.4,135.9423590 ,33.5970220 ,○,,○,,,200,,太地町大字太地2991-1,
