"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"東中避難タワー","東中","","広川町","避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　","","☆☆","☆","","","","","",0,135.185116,34.0191738,"","","",0,0,100,100,"広川町大字東中128-1","",""
"たちばな支援学校（第２駐車場）","天皇区","","広川町","避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","土砂災害予測地域　浸水予測地域　津波浸水予測地域","☆","☆☆☆","","","","","",10.9,135.164255,34.024158,"","","",0,0,650,650,"広川町大字和田18-0","",""
"ひろの里","","","広川町","福祉避難所","","土砂災害予測地域　浸水予測地域　津波浸水予測地域","","","耐震　","","","","",0,135.2155235,33.9793603,"","","○",0,0,10,0,"広川町大字下津木1105-5","",""
"なつあけの里　ささゆり苑","","","広川町","福祉避難所","","土砂災害予測地域　浸水予測地域　津波浸水予測地域","","","耐震　","","","","",0,135.1952228,33.9717661,"","","",0,0,10,0,"広川町大字上津木1464-4","",""
"善照寺","唐尾","","広川町","避難場所","津波　","土砂災害予測地域　浸水予測地域　","","☆☆","","","","","一時避難場所のため屋内に入らない",9,135.147518,34.004162,"","","",0,0,215,0,"広川町大字唐尾255-0","",""
"広川ビーチ駅前広場","西広  山本　唐尾　池ノ上","","広川町","避難場所","洪水　津波　","","☆","☆☆","","","","","一時避難場所のため屋内に入らない",19,135.1638969,34.0130671,"","","",0,0,600,600,"広川町大字山本969-0","",""
"花王有田研修所グラウンド","山本  西広","","広川町","避難場所","津波　","","","☆☆☆","","","","","",19.1,135.153775,34.022996,"","","",0,0,4350,4350,"広川町大字山本1724-10","",""
"名島避難施設","名島","","広川町","避難所を兼ねる避難場所","内水氾濫　地震　津波　大規模な火事","","","☆☆☆","","","","","",0,135.183457,34.02296947,"","","",0,0,50,0,"広川町大字名島292-1","",""
"唐尾避難施設","唐尾","","広川町","避難所を兼ねる避難場所","洪水　高潮　地震　津波　大規模な火事","浸水予測地域　津波浸水予測地域","☆☆☆","☆☆☆","耐震　","","","","",0,135.146719,34.003102,"","","",0,0,70,70,"広川町大字唐尾1024-1","",""
"広東避難施設","広（西町）広（東町）","津波の場合は３階以上","広川町","避難所を兼ねる避難場所","洪水　高潮　内水氾濫　地震　津波　大規模な火事","浸水予測地域　津波浸水予測地域","☆☆☆","☆☆","耐震　","有","○","○","",19.1,135.178608,34.0269243,"○","","○",855.82,100,500,500,"広川町大字広159-1","",""
"落合公民館","落合","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",88,135.212159,33.97033,"","","",0,0,30,0,"広川町大字上津木448-1","",""
"柳瀬公民館","柳瀬","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",20,135.191018,34.018706,"","","",0,0,30,0,"広川町大字柳瀬253-0","",""
"名島集会場","名島","","広川町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","","","","","",7,135.1828,34.022838,"","","",0,0,40,0,"広川町大字名島405-0","築年数25年～30年",""
"南広小学校西広分校","西広  唐尾","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",5,135.152436,34.006356,"","","",0,0,127,0,"広川町大字西広15-0","",""
"南広小学校井関分校","井関","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",41,135.1897788,34.0071054,"","","",0,0,87,0,"広川町大字井関1053-0","",""
"南広小学校","広 南広","","広川町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","",33,135.1756975,34.0129567,"","","",0,0,501,0,"広川町大字上中野1175-0","",""
"南広公民館","上中野  殿  南金屋","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",20,135.179268,34.013528,"","","",0,0,30,0,"広川町大字南金屋244-2","",""
"南金屋公民館","南金屋","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",20,135.179509,34.013757,"","","",0,0,70,0,"広川町大字南金屋243-0","",""
"東中集会場","東中","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",11,135.185559,34.018855,"","","",0,0,30,0,"広川町大字東中203-1","",""
"唐尾公民館","唐尾","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",4,135.1461667,34.00494444,"","","",0,0,30,0,"広川町大字唐尾1573-0","",""
"殿集会所","殿","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",19,135.186857,34.013345,"","","",0,0,30,0,"広川町大字殿305-0","",""
"津木中学校","寺杣  滝原","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆","","耐震　","有","○","","NTT孤立防止衛星電話設置",70,135.2130522,33.9805152,"","","",0,0,220,0,"広川町大字下津木716-0","",""
"津木小学校","中村  落合","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",109,135.212904,33.9700738,"","","",0,0,166,0,"広川町大字上津木431-0","",""
"津木公民館","津木","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆","","耐震　","","","","",62,135.21421,33.979425,"","","",0,0,30,0,"広川町大字下津木743-0","",""
"津波防災教育センター3階","広（西町）  広(東町）","","広川町","避難所を兼ねる避難場所","洪水　高潮　津波　大規模な火事","土砂災害予測地域　津波浸水予測地域","☆☆","☆","耐震　","有","○","○","毛布・マット・飲料・食糧・生理用品等",4,135.173144,34.025873,"○","","○",0,0,165,0,"広川町大字広671-0","",""
"猪谷集会所","猪谷","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","","","","","",215,135.18694,33.9782542,"","","",0,0,30,0,"広川町大字上津木1791-1","",""
"中村区民センター","中村","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","","☆☆☆","","耐震　","","","","",106,135.198615,33.970826,"","","",0,0,30,0,"広川町大字上津木805-0","",""
"池ノ上区集会場","池ノ上","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","",24,135.166461,34.013955,"","","",0,0,30,0,"広川町大字山本924-17","",""
"男山焼会館","広、南広","","広川町","避難所を兼ねる避難場所","地震　津波　大規模な火事","","","☆☆☆","耐震　","","","","",0,135.1782,34.015655,"","○","",0,0,30,0,"広川町大字上中野88-2","",""
"滝原公民館","滝原","","広川町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","","","","","",115,135.228411,33.974782,"","","",0,0,30,0,"広川町大字下津木1573-4","建設年不明",""
"耐久中学校","広（西町）","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",3,135.169057,34.024216,"","","",0,0,995,0,"広川町大字広1123-0","",""
"前田集会場","前田","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","","","","","",72,135.2033806,33.9928545,"","","",0,0,30,0,"広川町大字前田540-0","",""
"西広公民館","西広","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","一部増設",4,135.156423,34.009379,"","","",0,0,30,0,"広川町大字西広628-1","",""
"西・北集会所","西之町  北之町","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",3,135.1784083,34.0294,"","","",0,0,27,0,"広川町大字広241-1","",""
"上中野集会所","上中野","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",14,135.175557,34.014376,"","","",0,0,30,0,"広川町大字上中野1188-0","",""
"寺杣集会所","寺杣","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆","","耐震　","","","","",63,135.21421,33.979425,"","","",0,0,30,0,"広川町大字下津木743-0","津木公民館と併設",""
"山本区集会所","山本","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","",24,135.167455,34.014027,"","","",0,0,30,0,"広川町大字山本510-6","",""
"広八幡避難施設","広","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","☆☆☆","耐震　","有","○","○","飲料・食糧・トイレ・プライベートルーム等",11.8,135.1753972,34.0178978,"","○","○",0,0,150,0,"広川町大字上中野206-1","",""
"広川町老人憩いの家","広（西町）","","広川町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","","","","","",3,135.173576,34.029277,"","","",0,0,90,0,"広川町大字広1467-0","",""
"広川町役場３階","みどり区  広（西町）","","広川町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","津波浸水予測地域","","☆","耐震　","有","○","○","毛布、マット",3,135.1730627,34.0302394,"○","○","○",0,0,606,606,"広川町大字広1500-0","",""
"広川町民体育館","広（西町）","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","","","","",3,135.173503,34.031041,"","","",0,0,479,0,"広川町大字広1469-0","",""
"広川町民会館","熊之町  学園町  旭町","","広川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","","","","",5,135.1772308,34.0235406,"","","",0,0,210,0,"広川町大字広572-0","",""
"広川町風力発電所（広川明神山風力発電所西空き地）","西広  山本","","広川町","避難所を兼ねる避難場所","地震　津波　大規模な火事","","","☆☆☆","耐震　","","","","",82,135.154635,34.0170219,"","","",0,0,1000,1000,"広川町大字山本1959-2","",""
"広川町青少年の家","岩淵","","広川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",211,135.247376,33.994679,"","","",0,0,32,0,"広川町大字下津木2088-0","",""
