"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"船山地区公民館","岩出地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","有","○","○","食料・資機材等",0,135.318928,34.2478588,"○","","○",0,0,20,20,"岩出市山崎118-4","","",""
"若葉台公園","根来地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",73,135.319221,34.2794592,"","","",0,0,0,646,"岩出市今中170-8","","",""
"いわで御殿","岩出地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆","","","","","","",19,135.3192623,34.25075728,"","","",0,0,0,94,"岩出市清水5-1","","",""
"くすのき公園","根来地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",84,135.316575,34.2800435,"","","",0,0,0,711,"岩出市桜台422-0","","",""
"けやき公園","根来地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",108,135.316204,34.2827199,"","","",0,0,0,282,"岩出市桜台426-0","","",""
"さぎのせ公園","山崎地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆","","","","","","",12,135.276049,34.2572937,"","","",0,0,0,14800,"岩出市中島1183-0","","",""
"さくら公園","根来地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",76,135.316039,34.2808341,"","","",0,0,0,1383,"岩出市桜台423-0","","",""
"むくのき公園","根来地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",69,135.317588,34.2794054,"","","",0,0,0,703,"岩出市桜台427-0","","",""
"わんぱく公園","根来地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",90,135.318191,34.2822278,"","","",0,0,0,1734,"岩出市桜台425-0","","",""
"岡田児童館","岩出地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",31,135.335467,34.2585002,"","","",0,0,0,39,"岩出市岡田643-4","","",""
"岡田集会所","岩出地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆","","","","","","",22,135.3305206,34.25902415,"","","",0,0,0,33,"岩出市岡田463-0","","",""
"紀泉台グラウンド","山崎地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",81,135.291128,34.2826263,"","","",0,0,0,4280,"岩出市紀泉台96-2","","",""
"紀泉台公園１","山崎地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",57,135.289295,34.2804579,"","","",0,0,0,427,"岩出市紀泉台481-0","","",""
"紀泉台公園２","山崎地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",76,135.292215,34.2829279,"","","",0,0,0,202,"岩出市紀泉台96-38","","",""
"吉田団地公園","山崎地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆","","","","","","",11,135.276457,34.2680895,"","","",0,0,0,400,"岩出市吉田92-2","","",""
"交通公園","根来地区","","岩出市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",34,135.304353,34.2705981,"","","",0,0,0,1160,"岩出市堀口41-0","","",""
