"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"※土砂災害からの退避","東畑","","海南市","広域避難場所","","","","","","","","","",0,135.262762,34.1321523,"","","",0,0,0,0,"海南市東畑0-0","","",""
"※沿岸部からの退避","※沿岸部からの退避","※沿岸部からの退避","海南市","広域避難場所","","","☆☆☆","☆☆☆","","","","","",0,135.166633,34.1337829,"","","",0,0,0,0,"海南市下津町　塩津174-2","","",""
"梅田ゲートボール場","大崎 加茂","","海南市","広域避難場所","地震　大規模な火事","","","","","","","","",39,135.178764,34.129855,"","","",0,4535,0,4535,"海南市下津町　梅田552-3","","指定緊急避難場所",""
"港ふれあい公園","下津","","海南市","広域避難場所","地震　津波　大規模な火事","","","☆☆☆","","有","○","","担架、車いす、リヤカー、救急工具セット、ロープ、保温シート等",15,135.145781,34.114445,"","","",0,3234,0,3234,"海南市下津町　下津27-3","","指定緊急避難場所",""
"別院広場","北野上 中野上","","海南市","広域避難場所","地震　大規模な火事","","","","","","","","",40,135.2831556,34.16670556,"","","",0,13816,0,13816,"海南市別院636-1","","指定緊急避難場所",""
"東部運動場","南野上 巽 中野上","","海南市","広域避難場所","地震　大規模な火事","","","","","","","","",100,135.277045,34.150554,"","","",0,29175,0,29175,"海南市木津382-0","","指定緊急避難場所",""
"沖野々公園","巽 中野上","","海南市","広域避難場所","地震　大規模な火事","","","","","","","","",70,135.272332,34.163716,"","","",0,2501,0,2501,"海南市沖野々278-6","","指定緊急避難場所",""
"沖野々スポーツ広場","巽 中野上","","海南市","広域避難場所","地震　大規模な火事","","","","","","","","",70,135.273082,34.163413,"","","",0,8310,0,8310,"海南市沖野々278-1","","指定緊急避難場所",""
"海南中央公園","日方 大野","","海南市","広域避難場所","地震　大規模な火事","","","","","","","","",17,135.2313245,34.15767474,"","","",0,102000,0,99999,"海南市大野中1006-0","収容可能人数（102000人）","指定緊急避難場所",""
"海南駅前広場","日方 内海","","海南市","広域避難場所","地震　大規模な火事","津波浸水予測地域","","","","","","","",3,135.2150221,34.15318474,"","","",0,6200,0,6200,"海南市名高530-0","","指定緊急避難場所",""
"黒江・船尾地区避難所周辺","黒江、船尾","","海南市","避難場所","","","","☆☆☆","","","","","",15,135.207764,34.16813,"","","",0,0,0,0,"海南市黒江1204-1","","",""
"障害者福祉施設　あすなろ","","","海南市","福祉避難所","","","","","","","","","",0,135.2585354,34.15779559,"","","",0,0,14,0,"海南市阪井521-0","","",""
"地域密着型介護老人福祉施設さくらホーム","","","海南市","福祉避難所","","","","","","","","","",0,135.2406349,34.16356156,"","","",0,0,25,0,"海南市北赤坂2-1","","",""
"住宅型有料老人ホームこころ","","","海南市","福祉避難所","","津波浸水予測地域","","","","","","","",0,135.1562783,34.1234485,"","","",0,0,23,0,"海南市下津町　丸田232-4","","",""
"住宅型有料老人ホームしおさいの家","","","海南市","福祉避難所","","","","","","","","","",0,135.1323774,34.12208357,"","","",0,0,7,0,"海南市下津町　方2088-32","","",""
"谷口病院（６階）","日方","津波時は６階","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震化済　","","","","",18,135.208904,34.158141,"○","","",67,0,0,67,"海南市日方327-11","「標高」は津波時の避難場所標高を示す。","指定緊急避難場所",""
"上公民館周辺","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",12.8,135.1580727,34.1091834,"","","",0,0,0,0,"海南市下津町　上356-40","","",""
"スーパーセンターオークワ海南店（屋上駐車場）","日方地区","津波時は屋上駐車場","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",17,135.2076542,34.15234699,"","","",0,6000,0,6000,"海南市築地1-1","「標高」は津波時の避難場所標高を示す。","",""
"池崎山津波避難場所","黒江・船尾・日方","","海南市","避難場所","津波　","","","☆☆☆","","","","","",32,135.2064461,34.16094523,"","","",0,0,0,0,"海南市日方30-0","","",""
"港ふれあい公園","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",0,135.145781,34.114445,"","","",0,3234,0,3234,"海南市下津町　下津27-3","","",""
"障害者支援施設ハニーホーム東雲","","","海南市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　地震　津波　","","","","耐震　","","","","",0,135.2466477,34.16041822,"","","",0,0,19,0,"海南市小野田1633-13","","",""
"養護老人ホーム　白寿荘","","","海南市","福祉避難所","","","","","耐震　","","","","",0,135.256556,34.17267778,"","","",0,0,14,0,"海南市小野田820-1","","指定避難所",""
"養護老人ホーム橘寮","","","海南市","福祉避難所","","津波浸水予測地域","","","耐震　","","","","",0,135.1439854,34.12506179,"","","",0,0,88,0,"海南市下津町　方674-1","","指定避難所",""
"特別養護老人ホーム　天美苑","","","海南市","福祉避難所","","","","","耐震　","","","","",0,135.3088979,34.19612847,"","","",0,0,23,0,"海南市七山964-1","","指定避難所",""
"特別養護老人ホーム　かぐのみ苑","","","海南市","福祉避難所","","","","","耐震　","","","","",0,135.1573614,34.13403329,"","","",0,0,61,0,"海南市下津町　丸田1111-1","","指定避難所",""
"介護老人福祉施設　緑風苑","","","海南市","福祉避難所","","","","","耐震　","","","","",0,135.2998129,34.19031777,"","","",0,0,48,0,"海南市孟子709-1","","指定避難所",""
"介護老人福祉施設　　やすらぎ園","中野上","","海南市","福祉避難所","","","","","耐震　","","","","",0,135.311312,34.1518979,"","","",0,0,198,0,"紀美野町下佐々1408-7","","",""
"特別養護老人ホーム　南風園","","","海南市","福祉避難所","","","","","耐震　","","","","",0,135.2758987,34.15487198,"","","",0,0,29,0,"海南市木津233-40","","指定避難所",""
"障害者支援施設　太陽の丘　てぃえどーる","","","海南市","福祉避難所","","","","","耐震　","","","","",0,135.28414,34.1269388,"","","",0,0,12,0,"海南市上谷807-1","","指定避難所",""
"とんだ池周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14,135.19956,34.162267,"","","",0,0,0,0,"海南市船尾297-0","","指定緊急避難場所",""
"願称寺周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15,135.133924,34.132213,"","","",0,0,0,0,"海南市下津町　大崎398-0","","指定緊急避難場所",""
"常行寺周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",9.6,135.132806,34.132921,"","","",0,0,0,0,"海南市下津町　大崎357-0","","指定緊急避難場所",""
"丁区パイロット農道周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",43,135.158026,34.118387,"","","",0,0,0,0,"海南市下津町　丁500-0","","指定緊急避難場所",""
"三郷八幡神社","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",74,135.16058,34.121327,"","","",0,0,0,0,"海南市下津町　丁238-0","","指定緊急避難場所",""
"高田機工（株）高友寮（屋上）","大崎","津波時は屋上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",11.9,135.149046,34.123077,"","","",0,150,0,150,"海南市下津町　方389","「標高」は津波時の避難場所標高を示す。","指定緊急避難場所",""
"女良農道周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",29,135.148794,34.132937,"","","",0,0,0,0,"海南市下津町　大崎1336-0","","指定緊急避難場所",""
