"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"南紀医療福祉センター","","","上富田町","福祉避難所","","土砂災害予測地域　浸水予測地域　","","","","","","","",27,135.44406,33.70834941,"","","",0,0,0,0,"上富田町岩田1776-1","",""
"特別養護老人ホーム　愛の園","","","上富田町","福祉避難所","","土砂災害予測地域　","","","","","","","",86,135.427695,33.7185285,"","","",0,0,0,0,"上富田町生馬316-56","",""
"三菱電機保養所敷地内","南紀の台","","上富田町","避難場所","地震　大規模な火事","土砂災害予測地域　","","","","","","","",76,135.407038,33.704259,"","","",0,30000,0,200,"上富田町南紀の台1-1","",""
"防災公園","朝来","","上富田町","避難場所","地震　大規模な火事","浸水予測地域　","","","","有","○","","ブルーシート・毛布他",20,135.4174278,33.70347778,"","","",0,3600,0,100,"上富田町朝来2293-7","",""
"三宝寺","岩田","","上富田町","避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","","","","","",29,135.438671,33.703082,"","","",180,500,0,50,"上富田町岩田375-0","",""
"円鏡寺","朝来","","上富田町","避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","","","","",29,135.423419,33.697077,"","","",200,700,0,50,"上富田町朝来1036-0","",""
"櫟原神社","朝来","","上富田町","避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","","","","","",19,135.419884,33.695802,"","","",100,450,0,50,"上富田町朝来2823-0","",""
"妙道寺","朝来","","上富田町","避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","","","","","",18,135.420045,33.706691,"","","",150,450,0,50,"上富田町朝来3995-0","",""
"上富田町役場庁舎","朝来  生馬  岩田","","上富田町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","有","○","○","発電機他",20,135.4288651,33.6963777,"○","○","○",3414,7000,0,50,"上富田町朝来763-0","",""
"デイサービスセンターくちくまの","市ノ瀬　下鮎川","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",0,135.463539,33.7154555,"","","",0,0,27,27,"上富田町市ノ瀬2504-8","",""
"農村環境改善センター","市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",32,135.4630871,33.7130291,"","","",885,0,45,45,"上富田町市ノ瀬619-2","",""
"農業構造改善センター","岡","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","","","","",34,135.4431882,33.7248581,"","","",193,0,15,15,"上富田町岡640-12","",""
"南紀の台会館","南紀の台","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",69,135.4062914,33.6990103,"","","",135,0,40,40,"上富田町南紀の台1805-635","",""
"田熊会館","岩田","","上富田町","避難所を兼ねる避難場所","大規模な火事","土砂災害予測地域　浸水予測地域　","☆（注）","","","","","","",24,135.4421934,33.6999971,"","","",73,0,30,30,"上富田町岩田712-0","",""
"鳥渕会館","生馬","","上富田町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","","","","無線機設置",71,135.4674255,33.6888345,"","","",50,0,10,10,"上富田町生馬2731-0","",""
"なのはな保育所","朝来","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆（注）","","耐震　","","","","",14,135.4167635,33.7005519,"","","",1870,0,620,620,"上富田町朝来2402-1","",""
"中央コミュニティ消防センター","朝来 生馬","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","有","○","○","アルファ米・スティックパン他",21,135.431645,33.6935151,"","","",300,0,240,240,"上富田町生馬725-1","",""
"大谷総合センター","朝来","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　大規模な火事","土砂災害予測地域　","☆☆","","","","","","",24,135.421482,33.7057853,"","","",964,0,350,350,"上富田町朝来3992-3","",""
