"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"和歌山つくし医療・福祉センター","","","紀の川市","福祉避難所","","","","","耐震　","","","","",0,135.316581105799,34.2675521150529,"","","",0,0,0,0,"岩出市中迫665-0","","",""
"デイサービスセンターたかお","","","紀の川市","福祉避難所","","","","","耐震　","","","","",0,135.3227808773,34.2007193022705,"","","",0,0,0,0,"紀の川市貴志川町　高尾194-1","","",""
"特別養護老人ホームきしがわ園","","","紀の川市","福祉避難所","","","","","耐震　","","","","",0,135.312914690028,34.225994713037,"","","",0,0,0,0,"紀の川市貴志川町　尼寺359-0","","",""
"特別養護老人ホームヴィラももの里","","","紀の川市","福祉避難所","","","","","耐震　","","","","",0,135.350652797119,34.2218568114609,"","","",0,0,0,0,"紀の川市桃山町　最上873-0","","",""
"住宅型有料老人ホーム雅","","","紀の川市","福祉避難所","","","","","耐震　","","","","",0,135.391798722279,34.2669842386507,"","","",0,0,0,0,"紀の川市深田101-1","","",""
"特別養護老人ホーム白水園","","","紀の川市","福祉避難所","","","","","耐震　","","","","",0,135.387904545394,34.2609888248234,"","","",0,0,0,0,"紀の川市上田井1229-1","","",""
"養護老人ホーム白水園","","","紀の川市","福祉避難所","","","","","耐震　","","","","",0,135.387904545394,34.2609888248234,"","","",0,0,0,0,"紀の川市上田井1229-1","","",""
"グループホームさくらの丘","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","","","","",43,135.379897318673,34.2632623732963,"○","","○",0,0,0,0,"紀の川市黒土153-0","","",""
"桃源郷運動公園駐車場","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","☆☆☆","","","","","","",76,135.355301,34.2227984,"","","",0,5319,0,2660,"紀の川市桃山町　最上1147-11","","指定緊急避難場所",""
"粉河中部運動場","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","☆☆☆","","","","","","",56,135.402026,34.2736327,"","","",0,13264,0,5310,"紀の川市粉河1479-0","","指定緊急避難場所",""
"鞆渕出張所","市内全域","","紀の川市","避難場所","高潮　内水氾濫　地震　津波　","土砂災害予測地域　","☆☆","","非耐震","有","○","○","アルファ米、水、パン、簡易トイレ",292,135.4549631,34.21746061,"○","○","",697,461,30,30,"紀の川市中鞆渕1041-0","","",""
