"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"九度山町中央公民館","広良  東一  桃園 中組 盛栄 神明 千代ヶ丘 西第二 永代第一 永代第二 真田 稲荷 舟戸 旭一 旭二 さくら わかくさ 梅林一 梅林二 梨の木 入郷一 入郷二 慈尊院 西島 椎出東 椎出西 長坂 下古沢一 下古沢ニ 中古沢 上古沢 笠木 祇園・妙見・大将軍 宮垣内・丹生 河根峠・硯水 繁野第一・第二 友愛 丹生川一 丹生川二 丹生川三 田摩 市平 北又 久保 柿平 野平 東郷 日の出","","九度山町","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","","","","",0,135.561838,34.2877073,"","","",0,0,45,303,"九度山町大字九度山1194-0","","",""
"西島コミュニティ消防センター","慈尊院　西島","","九度山町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","毛布、非常食、防災資機材、トイレ",0,135.53773,34.2964967,"○","○","○",0,0,4,19,"九度山町大字慈尊院329-7","","指定緊急避難場所","指定避難所"
"文化財伝承館「ふれあい」","椎出東  椎出西  長坂","","九度山町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",0,135.56566,34.2713238,"","","",0,0,13,52,"九度山町大字椎出202-0","","指定緊急避難場所","指定避難所"
"繁野集会所","繁野第一・第二","","九度山町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆☆☆","","耐震　","有","○","○","毛布、非常食、防災資機材、トイレ",0,135.57939,34.281563,"○","○","",0,0,4,17,"九度山町大字河根757-3","","指定緊急避難場所","指定避難所"
"農林総合研修センター「さえもん」","丹生川一  丹生川二  田摩","","九度山町","避難所を兼ねる避難場所","内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",0,135.5919,34.2718,"","","",0,0,8,32,"九度山町大字丹生川246-1","","指定緊急避難場所","指定避難所"
"入郷児童館","入郷一  入郷二","","九度山町","避難所を兼ねる避難場所","内水氾濫　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","非耐震","","","","",0,135.556615,34.2925958,"","","",0,0,17,70,"九度山町大字入郷82-0","","指定緊急避難場所","指定避難所"
"入郷コミュニティ消防センター","入郷一  入郷二 慈尊院 西島","","九度山町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","毛布、テント、非常食、防災資機材",0,135.554853,34.2940175,"○","○","",0,0,10,43,"九度山町大字入郷23-1","","指定緊急避難場所","指定避難所"
"丹生川小学校","丹生川一 丹生川二  丹生川三 田摩 市平 柿平","体育館","九度山町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆","","非耐震","","","","",0,135.606838,34.2768111,"","","",0,0,33,160,"九度山町大字丹生川582-0","","指定緊急避難場所","指定避難所"
"慈尊院児童館","慈尊院","","九度山町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　大規模な火事","","☆","","非耐震","","","","",0,135.5487243,34.296126,"","","",0,0,17,68,"九度山町大字慈尊院112-5","","指定緊急避難場所","指定避難所"
"旧古澤小学校","下古沢一  下古沢ニ  中古沢 上古沢 笠木","","九度山町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆☆","","耐震化済　","有","○","○","非常食、毛布、防災資機材、トイレ",0,135.5495293,34.2671118,"○","○","",0,0,164,820,"九度山町大字中古沢1-0","","指定緊急避難場所","指定避難所"
