"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"なかよし作業所","埴田","","みなべ町","避難場所","洪水　","","☆☆☆","","耐震　","有","○","○","非常食、飲料水、簡易トイレ",16.1,135.3266127,33.75227943,"","","",0,0,0,100,"みなべ町埴田1444-1","","指定緊急避難場所",""
"ひかり保育所","東岩代","","みなべ町","避難場所","津波　","","","☆☆","","","","","",0,135.286419,33.7859895,"","","",0,0,0,66,"みなべ町東岩代2059-0","","",""
"山内地区岩井谷付近","山内","","みなべ町","避難場所","津波　","","","☆☆☆","","","","","",0,135.307752,33.7737658,"","","",0,0,0,100,"みなべ町山内0-0","","",""
"常福寺裏山高台","堺","","みなべ町","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.330486,33.7486418,"","","",0,0,0,50,"みなべ町堺73-0","","",""
"紀州梅干館（３階以上）","山内","津波は３階以上","みなべ町","避難場所","地震　津波　","津波浸水予測地域","","☆","","","","","",0,135.3139079,33.77267585,"","","",0,0,0,274,"みなべ町山内1339-0","","",""
"ミナベ化工(株)事務所（３階以上）","気佐藤　外","津波は３階以上","みなべ町","避難場所","地震　津波　","津波浸水予測地域","","☆","耐震　","有","○","○","非常食、飲料水、簡易トイレ",0,135.3202866,33.77573153,"","","",0,0,0,217,"みなべ町気佐藤173-1","","",""
"埴田拝殿高台","埴田","","みなべ町","避難場所","地震　津波　","土砂災害予測地域　","","☆☆","","","","","",0,135.32815,33.7625177,"","","",0,0,0,100,"みなべ町埴田0-0","","",""
"なかよし作業所","埴田","","みなべ町","福祉避難所","洪水　","","","","耐震　","有","○","○","非常食、飲料水、簡易トイレ",16.1,135.3266127,33.75227943,"","","",0,0,100,0,"みなべ町埴田1444-1","","指定避難所",""
"西本庄地区天王神社","西本庄","","みなべ町","避難場所","地震　津波　","","","☆☆","","","","","",27,135.327597,33.811318,"","","",0,0,0,20,"みなべ町西本庄0-0","","指定緊急避難場所",""
"水越観音前","西本庄","","みなべ町","避難場所","地震　津波　","","","☆☆","","","","","",20.8,135.322426,33.805203,"","","",0,0,0,20,"みなべ町西本庄0-0","","指定緊急避難場所",""
"須賀神社前","西本庄","","みなべ町","避難場所","地震　津波　","","","☆☆","","","","","",15.3,135.32625,33.799194,"","","",0,0,0,20,"みなべ町西本庄0-0","","指定緊急避難場所",""
"瓜谷地区上","西本庄","","みなべ町","避難場所","地震　津波　","","","☆☆","","","","","",16.5,135.324464,33.796145,"","","",0,0,0,20,"みなべ町西本庄0-0","","指定緊急避難場所",""
"瓜谷地区下","西本庄","","みなべ町","避難場所","地震　津波　","","","☆☆","","","","","",14,135.325805,33.795111,"","","",0,0,0,20,"みなべ町西本庄0-0","","指定緊急避難場所",""
"大谷会館","晩稲","","みなべ町","避難場所","地震　津波　","","","☆☆","","","","","",21.6,135.341748,33.794866,"","","",0,0,0,50,"みなべ町晩稲0-0","","指定緊急避難場所",""
