"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"ターマイトクリーン駐車場","王子町、清水元、下田、新宮、","","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",44.9,135.9932314,33.71008832,"","","",0,84.16,0,168,"新宮市新宮3305-1","","",""
"宝珠寺境内","佐野、木ノ川、蜂伏","","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.962234,33.6825612,"","","",0,0,0,460,"新宮市木ノ川360-0","","",""
"ＪＰビル","馬町１丁目、馬町２丁目、新宮、大橋通４丁目、千穂２丁目、谷王子町、横町１丁目、横町２丁目、別当屋敷町、薬師町、大橋通３丁目、仲之町１丁目、仲之町２丁目","","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.987232,33.728476,"","","",0,61,0,122,"新宮市馬町２丁目1-3","","",""
"王子ヶ浜小学校（校舎）","王子町  田鶴原町  熊野地 清水元","津波避難時は３階以上","新宮市","避難場所","地震　津波　","","","☆☆☆","","有","○","○","毛布、アルファ米　など",0,135.9994638,33.71894323,"","","",0,0,0,8640,"新宮市田鶴原町２丁目10-1","","",""
"三輪崎八幡神社（境内）","三輪崎","","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.982915,33.68914854,"","","",0,0,0,980,"新宮市三輪崎1512-0","","",""
"光洋中学校（校舎）","佐野　三輪崎","津波避難時は３階以上","新宮市","避難場所","地震　津波　","","","☆☆☆","","有","○","○","毛布、アルファ米　など",0,135.9773839,33.68843566,"","","",0,0,0,7060,"新宮市三輪崎1199-2","","",""
"城南中学校（校舎）","王子町  田鶴原町  清水元 下田 新宮（丸山）","津波避難時は３階以上","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.9976573,33.7188123,"","","",0,0,0,9000,"新宮市清水元１丁目5-44","","",""
"近畿大学付属新宮高等学校中学校（グラウンド）","王子町  田鶴原町  清水元 下田 新宮（丸山）","","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.9979771,33.71584529,"","","",0,0,0,12690,"新宮市新宮4966-0","","",""
"三輪崎小学校（校舎）","三輪崎","","新宮市","避難場所","地震　津波　","","","☆☆☆","","有","○","○","毛布、アルファ米　など",0,135.9807567,33.68492844,"","","",0,0,0,3160,"新宮市三輪崎３丁目6-7","","",""
"天理教南海大教会（駐車場）","阿須賀 蓬莱 徐福 伊佐田町 池田","","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.994053,33.7299757,"","","",0,0,1400,0,"新宮市池田１丁目1-26","","",""
"緑丘中学校（校舎）","下田  井の沢  橋本 五新 磐盾 神倉 緑ヶ丘 新宮（丸山） 南桧杖","津波避難は３階以上","新宮市","避難場所","地震　津波　","","","☆☆☆","","有","○","○","毛布、アルファ米　など",0,135.9901708,33.72042435,"","","",0,0,0,10340,"新宮市緑ケ丘２丁目1-15","","",""
"神倉小学校（校舎）","千穂 神倉 馬町 別当屋敷町 新宮（御渡） 新宮（口山） 新町 船町 相筋 大橋通 谷王子町 仲之町 横町 薬師町 上本町 元鍛冶町","津波避難時は３階以上","新宮市","避難場所","洪水　地震　津波　","","","☆☆☆","","有","○","○","毛布、アルファ米　など",0,135.985359,33.7254172,"","","",0,0,0,11800,"新宮市千穂１丁目2-40","","",""
"新宮高等学校（校舎）","橋本  五新  磐盾 神倉","津波避難時は３階片廊下","新宮市","避難場所","地震　津波　","","","☆☆☆","","","","","",0,135.985483,33.7205114,"","","",0,0,0,230,"新宮市神倉３丁目2-29","","",""
