"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"東京医療保健大学(屋内運動場・別館)","雄湊　砂山","屋内運動場・別館","和歌山市","避難所","","","","","","有","○","○","アルファ化米・乾パン・飲料水・毛布・アルミ寝袋・トイレ処理セット・ブルーシート・緊急対応型ラジオ",0,135.1661184,34.22806492,"","","",0,0,189,0,"和歌山市東坂ノ上丁3-0","","指定避難所",""
"和歌山ビッグ愛（敷地部分）","宮前（新南　大新　広瀬　宮　宮北　三田）","敷地部分","和歌山市","広域避難場所","地震　津波　大規模な火事","津波浸水予測地域","","☆☆","","","","","",2.1,135.19026,34.21848,"","","",0,31657,0,10552,"和歌山市手平２丁目1-12","広域避難場所（建物部分は津波避難協力ビル）","指定緊急避難場所",""
"和歌山ビッグホエール(駐車場含む)","宮前（新南　大新　広瀬　宮　宮北　三田）","","和歌山市","広域避難場所","地震　津波　大規模な火事","津波浸水予測地域","","☆☆","","","","","",2.1,135.190846,34.221266,"","","",0,0,0,18520,"和歌山市手平２丁目1-1","広域避難場所","指定緊急避難場所",""
"紀三井寺公園","名草（和歌浦　田野　高松　雑賀　雑賀崎）","","和歌山市","広域避難場所","地震　津波　大規模な火事","津波浸水予測地域","","☆","","","","","",2,135.190736,34.166673,"","","",0,0,0,48391,"和歌山市紀三井寺200-0","広域避難場所","指定緊急避難場所",""
"和歌山城公園","城北　雄湊　広瀬（本町　吹上　芦原　砂山　今福）","","和歌山市","広域避難場所","地震　津波　大規模な火事","","","☆☆☆","","","","","",9,135.171189,34.226376,"","","",0,0,0,68166,"和歌山市一番丁3-0","広域避難場所","指定緊急避難場所",""
"リベラルパレス福島","野崎","","和歌山市","避難場所","洪水　津波　","浸水予測地域　津波浸水予測地域","","☆","","","","","",2.7,135.161818986184,34.2460417344694,"","","",0,0,0,88,"和歌山市福島679-6","津波避難協力ビル","指定緊急避難場所",""
"アイビースクエア","野崎","","和歌山市","避難場所","洪水　津波　","浸水予測地域　津波浸水予測地域","","☆","","","","","",2.8,135.165662,34.2480562,"","","",0,0,0,102,"和歌山市福島293-1","津波避難協力ビル","指定緊急避難場所",""
"青少年国際交流センター","加太","青少年国際交流センター","和歌山市","避難場所","","津波浸水予測地域","","☆☆☆","","","","","",0,135.066698995365,34.2715615333013,"","","",0,0,0,0,"和歌山市加太1907-2","津波避難目標地点","",""
"三田山","三田","山林の頂上広場及び頂上にいたる通路部分","和歌山市","避難場所","津波　","","","☆☆☆","","","","","",16.9,135.199812610446,34.2034307518754,"","","",0,0,0,250,"和歌山市坂田336-0","津波避難場所","指定緊急避難場所",""
"ケアハウス　黎明の里","","","和歌山市","福祉避難所","","","","","","","","","",0,135.2511201,34.27460289,"","","",0,0,10,0,"和歌山市北野669-1","福祉避難所","指定避難所",""
"芦原こども園","","","和歌山市","福祉避難所","","","","","","","","","",0,135.1805561,34.21908478,"","","",0,0,28,0,"和歌山市雄松町５丁目4-1","福祉避難所","指定避難所",""
"本町こども園","","","和歌山市","福祉避難所","","","","","","","","","",0,135.1752876,34.23696754,"","","",0,0,13,0,"和歌山市北桶屋町7-0","福祉避難所","指定避難所",""
"ケアハウス　山口葵園","","","和歌山市","福祉避難所","","","","","","","","","",0,135.2633468,34.26442808,"","","",0,0,20,0,"和歌山市藤田25-1","福祉避難所","指定避難所",""
"和歌山下津港湾事務所庁舎","砂山","屋上","和歌山市","避難場所","洪水　高潮　津波　","浸水予測地域　津波浸水予測地域","","☆","耐震　","","","","",0,135.148716,34.2203929,"","","",128.05,0,0,128,"和歌山市築港６丁目22-0","津波避難協力ビル","指定緊急避難場所",""
"紀州技研工業株式会社（インク研究所）","名草","2階以上の共用部分","和歌山市","避難場所","洪水　高潮　津波　","","","☆","耐震　","","","","",2.6,135.183927,34.1745891,"","","",0,610,0,610,"和歌山市布引534-2","津波避難協力ビル","指定緊急避難場所",""
"ウイズ","","","和歌山市","福祉避難所","","","","","","","","","",0,135.2146984,34.20142842,"","","",0,0,0,0,"和歌山市和田80-1","福祉避難所","指定避難所",""
"紀和駅前公園","中之島","","和歌山市","避難場所","地震　津波　大規模な火事","","","☆☆","","","","","",2.8,135.181196,34.2420647,"","","",0,15463,0,5154,"和歌山市中之島803-20","屋外避難場所","指定緊急避難場所",""
"雄湊グラウンド","雄湊、砂山","","和歌山市","避難場所","地震　津波　大規模な火事","","","☆☆☆","","","","","",13.8,135.166118,34.2280649,"","","",0,4449,0,1483,"和歌山市東坂ノ上丁3-0","屋外避難場所","指定緊急避難場所",""
"１２３＋Ｎ和歌山本店(立体駐車場棟)","宮前","","和歌山市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",2.5,135.185727,34.1963704,"","","",0,0,0,6420,"和歌山市小雑賀762-1","津波避難協力ビル","指定緊急避難場所",""
