"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"田村小学校グラウンド","田","","湯浅町","広域避難場所","地震　大規模な火事","津波浸水予測地域","","","","","","","",1.5,135.151414,34.0545635,"","","",0,4300,0,4300,"湯浅町大字田359-0","1人/㎡","指定緊急避難場所",""
"田栖川小学校グラウンド","栖原","","湯浅町","広域避難場所","地震　大規模な火事","津波浸水予測地域","","","","","","","",2.1,135.165085,34.04393,"","","",0,3000,0,3000,"湯浅町大字栖原1384-0","1人/㎡","指定緊急避難場所",""
"湯浅中学校グラウンド","湯浅","","湯浅町","広域避難場所","地震　大規模な火事","津波浸水予測地域","","","","","","","",5.7,135.18403,34.03945,"","","",0,7000,0,7000,"湯浅町大字湯浅1815-0","1人/㎡","指定緊急避難場所",""
"湯浅小学校グラウンド","湯浅","","湯浅町","広域避難場所","地震　大規模な火事","津波浸水予測地域","","","","","","","",4.1,135.181414,34.035126,"","","",0,5700,0,5700,"湯浅町大字湯浅1570-0","1人/㎡","指定緊急避難場所",""
"町民多目的グラウンド","湯浅 栖原 青木　吉川","","湯浅町","避難場所","津波　","","","☆☆☆","","","","","",0,135.195796,34.0365891,"","","",0,0,0,4700,"有田川町大字熊井726-9","","",""
"ライフケア有田","横田","","湯浅町","福祉避難所","地震　","","","","耐震　","有","○","○","備蓄米、長期保存水、長期保存食料",0,135.1931218,34.04623749,"○","","○",0,0,20,0,"湯浅町大字吉川52-1","","指定避難所",""
"地域福祉センター","湯浅","２F","湯浅町","福祉避難所","洪水　崖崩れ・土石流及び地滑り　地震　津波　","浸水予測地域　津波浸水予測地域","","","耐震　","有","○","○","アルファ米、長期保存水、長期保存食料",2.3,135.177425,34.037564,"○","○","",334.2,0,200,330,"湯浅町大字湯浅1675-1","2人/3.3㎡
1人/㎡","指定避難所",""
"平安のまち","湯浅","","湯浅町","福祉避難所","地震　","","","","耐震　","","","","",0,135.1881892,34.0288481,"○","","○",0,0,70,0,"湯浅町大字青木826-1","","指定避難所",""
"なぎ園","吉川","","湯浅町","福祉避難所","崖崩れ・土石流及び地滑り　地震　","土砂災害予測地域　","","","耐震　","有","○","○","流動食、長期保存水",0,135.184928,34.0464306,"","","",0,0,20,0,"湯浅町大字吉川160-0","","指定避難所",""
"つくし共同作業所","栖原","","湯浅町","福祉避難所","地震　","","","","耐震　","有","○","○","缶パン、長期保存水",0,135.1819312,34.04384569,"","","",0,0,20,0,"湯浅町大字栖原187-1","","指定避難所",""
"潮光園","湯浅","","湯浅町","福祉避難所","崖崩れ・土石流及び地滑り　地震　津波　","土砂災害予測地域　津波浸水予測地域","","","耐震　","有","○","○","備蓄米、長期保存水、濃厚流動食",0,135.174057,34.0393739,"○","○","",0,0,5,0,"湯浅町大字湯浅2600-3","","指定避難所",""
"ゆあさの郷","湯浅","","湯浅町","福祉避難所","地震　津波　","津波浸水予測地域","","","","","","","",0,135.1713824,34.0350606,"","","",0,0,10,0,"湯浅町大字湯浅2834-0","","指定避難所",""
"かぐのみ苑","湯浅","","湯浅町","福祉避難所","地震　","","","","耐震　","有","○","○","アルファ米、長期保存水、長期保存食料",0,135.1856727,34.03739119,"○","","○",0,0,25,0,"湯浅町大字湯浅2032-1","","指定避難所",""
"小母ヶ谷","田","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",40,135.153997,34.0577056,"","","",0,0,0,100,"湯浅町大字田490-0","","指定緊急避難場所",""
"Ｌ・ＶＡビル","湯浅","屋上","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆☆","耐震　","","","","",5.2,135.18309,34.038452,"","","",0,241,0,200,"湯浅町大字湯浅1940-5","1人/㎡","指定緊急避難場所",""
"蓑田薬師堂裏山","田","","湯浅町","避難場所","地震　津波　","土砂災害予測地域　","","☆☆☆","","","","","",16,135.153522,34.0497468,"","","",0,0,0,500,"湯浅町大字田1091-0","","指定緊急避難場所",""
"野井坂","田","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",22.6,135.147912,34.0565341,"","","",0,0,0,200,"湯浅町大字田84-0","","指定緊急避難場所",""
"庚申山","田","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",32.1,135.151851,34.0523073,"","","",0,0,0,500,"湯浅町大字田1057-0","","指定緊急避難場所",""
"矢田グランド","栖原","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",53.3,135.176433,34.0426603,"","","",0,0,0,6700,"湯浅町大字栖原253-4","","指定緊急避難場所",""
"法岸寺","栖原","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",21.4,135.16682,34.04543,"","","",0,0,0,200,"湯浅町大字栖原1348-0","","指定緊急避難場所",""
"田栖川小学校校舎","栖原","３F","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆☆","耐震　","","","","",4.4,135.165565,34.044237,"","","",75,0,0,70,"湯浅町大字栖原1384-0","1人/㎡","指定緊急避難場所",""
"前山農道","栖原","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",31.2,135.163292,34.0394215,"","","",0,0,0,1000,"湯浅町大字栖原734-2","","指定緊急避難場所",""
"済生会前オレンジタウン","栖原 吉川","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",38.8,135.192638,34.045351,"","","",0,0,0,1000,"湯浅町大字吉川51-23","","指定緊急避難場所",""
"横田元日通付近","湯浅 栖原 吉川","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",42.8,135.187904,34.0447832,"","","",0,0,0,2000,"湯浅町大字栖原89-2","","指定緊急避難場所",""
"有田振興局駐車場","湯浅 栖原 青木　吉川","駐車場","湯浅町","避難場所","地震　津波　","","","☆☆☆","耐震　","","","","",17.3,135.194098,34.039623,"","","",0,0,0,6700,"湯浅町大字湯浅2355-1","","指定緊急避難場所",""
"水道事務所","湯浅 別所","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","有","○","○","長期保存パン",17.9,135.184088,34.027942,"","","",45.9,0,0,40,"湯浅町大字別所331-0","1人/㎡","指定緊急避難場所",""
"わくわく公園","湯浅 青木 別所","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",17.5,135.187641,34.031846,"","","",0,0,0,1500,"湯浅町大字青木460-0","","指定緊急避難場所",""
"天神山","湯浅","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",13.7,135.184101,34.0333143,"","","",0,0,0,1000,"湯浅町大字別所59-8","","指定緊急避難場所",""
"妙見山","湯浅","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",21.8,135.183183,34.0332202,"","","",0,0,0,300,"湯浅町大字湯浅1375-0","","指定緊急避難場所",""
"方津戸峠","湯浅 栖原","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",41.8,135.184072,34.0457064,"","","",0,0,0,0,"湯浅町大字吉川257-2","","指定緊急避難場所",""
"湯浅中学校校舎","湯浅","３F","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆☆","耐震　","","","","",5.7,135.184213,34.0402909,"","","",448.5,0,0,440,"湯浅町大字湯浅1815-0","1人/㎡","指定緊急避難場所",""
"満願寺裏山","湯浅","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",16,135.180117,34.0316964,"","","",0,0,0,500,"湯浅町大字湯浅1334-0","","指定緊急避難場所",""
"六角堂","湯浅","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",16,135.17745,34.0409827,"","","",0,0,0,600,"湯浅町大字湯浅2563-0","","指定緊急避難場所",""
"栖原坂","湯浅 栖原","","湯浅町","避難場所","地震　津波　","","","☆☆☆","","","","","",16.8,135.172263,34.0404749,"","","",0,0,0,0,"湯浅町大字栖原355-0","","指定緊急避難場所",""
"ＮＴＴ西日本湯浅別館","湯浅","３F","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆☆","耐震　","","","","",4.6,135.181847,34.035823,"","","",153,0,0,150,"湯浅町大字湯浅1533-1","1人/㎡","指定緊急避難場所",""
"住山マンション東","湯浅","３，４F","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆","","","","","",3.2,135.172976,34.035215,"","","",0,79.7,0,70,"湯浅町大字湯浅2800-0","1人/㎡","指定緊急避難場所",""
"方津戸団地","湯浅 栖原","４，５，６，７F","湯浅町","避難場所","地震　津波　","","","☆☆","耐震　","","","","",6.9,135.182211,34.043353,"","","",0,232,0,230,"湯浅町大字栖原182-1","1人/㎡","指定緊急避難場所",""
"北栄北団地","湯浅","４，５F","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆","耐震　","","","","",3.7,135.175703,34.0391618,"","","",0,92.7,0,90,"湯浅町大字湯浅2702-6","1人/㎡","指定緊急避難場所",""
"雇用促進住宅","湯浅","３，４F","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆","耐震　","","","","",3.1,135.17201,34.0363234,"","","",0,262.7,0,260,"湯浅町大字湯浅2917-1","1人/㎡","指定緊急避難場所",""
"湯浅幼稚園","湯浅","本館２階、屋上","湯浅町","避難場所","地震　津波　","津波浸水予測地域","","☆","耐震　","","","","",4,135.177362,34.034991,"","","",315.3,0,0,310,"湯浅町大字湯浅785-0","1人/㎡ 屋内外の合計","指定緊急避難場所",""
"幸神社","栖原","","湯浅町","避難場所","地震　津波　","","","☆☆","","","","","",20,135.16541,34.0409205,"","","",0,0,0,100,"湯浅町大字栖原559-0","","指定緊急避難場所",""
"奥畑大師堂","栖原","","湯浅町","避難場所","地震　津波　","","","☆","","","","","",10.8,135.166012,34.0403269,"","","",0,0,0,50,"湯浅町大字栖原822-0","","指定緊急避難場所",""
